config,run,kind,key,count,bytes,ms
arm64-warm,1,readying,7z.exe,16,0.000,13.905
arm64-warm,1,readying,conhost.exe,2,0.000,13.885
arm64-warm,1,readying,powershell.exe,2,0.000,4.395
arm64-warm,1,readying,MsMpEng.exe,1,0.000,2.428
arm64-warm,1,readying,csrss.exe,2,0.000,0.033
arm64-warm,3,readying,7z.exe,16,0.000,9.739
arm64-warm,3,readying,conhost.exe,2,0.000,8.300
arm64-warm,3,readying,MsMpEng.exe,1,0.000,1.390
arm64-warm,3,readying,powershell.exe,2,0.000,0.379
arm64-warm,3,readying,csrss.exe,2,0.000,0.023
arm64-warm,5,readying,7z.exe,16,0.000,9.448
arm64-warm,5,readying,conhost.exe,2,0.000,8.085
arm64-warm,5,readying,MsMpEng.exe,1,0.000,1.460
arm64-warm,5,readying,powershell.exe,2,0.000,0.496
arm64-warm,5,readying,csrss.exe,4,0.000,0.027
arm64-warm,7,readying,7z.exe,16,0.000,11.372
arm64-warm,7,readying,conhost.exe,2,0.000,8.274
arm64-warm,7,readying,MsMpEng.exe,1,0.000,1.420
arm64-warm,7,readying,powershell.exe,2,0.000,0.403
arm64-warm,7,readying,csrss.exe,2,0.000,0.024
arm64-warm,9,readying,7z.exe,17,0.000,9.529
arm64-warm,9,readying,conhost.exe,2,0.000,8.072
arm64-warm,9,readying,MsMpEng.exe,1,0.000,1.497
arm64-warm,9,readying,powershell.exe,2,0.000,0.369
arm64-warm,9,readying,csrss.exe,2,0.000,0.019
arm64-warm,11,readying,7z.exe,17,0.000,9.934
arm64-warm,11,readying,conhost.exe,2,0.000,8.287
arm64-warm,11,readying,MsMpEng.exe,1,0.000,1.407
arm64-warm,11,readying,powershell.exe,2,0.000,0.389
arm64-warm,11,readying,csrss.exe,2,0.000,0.021
arm64-warm,13,readying,7z.exe,16,0.000,9.667
arm64-warm,13,readying,conhost.exe,2,0.000,8.353
arm64-warm,13,readying,MsMpEng.exe,1,0.000,1.548
arm64-warm,13,readying,powershell.exe,2,0.000,0.419
arm64-warm,13,readying,csrss.exe,2,0.000,0.020
arm64-warm,15,readying,7z.exe,16,0.000,10.242
arm64-warm,15,readying,conhost.exe,2,0.000,8.492
arm64-warm,15,readying,MsMpEng.exe,1,0.000,1.424
arm64-warm,15,readying,powershell.exe,2,0.000,0.416
arm64-warm,15,readying,csrss.exe,2,0.000,0.021
arm64-warm,17,readying,7z.exe,17,0.000,9.758
