config,run,traced,wall_ms
arm64-warm,1,1,654.352
x64-warm,1,1,401.366
arm64-warm,2,0,56.175
x64-warm,2,0,77.649
arm64-warm,3,1,20.083
x64-warm,3,1,35.917
arm64-warm,4,0,57.398
x64-warm,4,0,76.460
arm64-warm,5,1,19.889
x64-warm,5,1,65.306
arm64-warm,6,0,57.861
x64-warm,6,0,71.900
arm64-warm,7,1,20.584
x64-warm,7,1,36.076
arm64-warm,8,0,58.479
x64-warm,8,0,75.027
arm64-warm,9,1,19.638
x64-warm,9,1,35.412
arm64-warm,10,0,58.823
x64-warm,10,0,81.201
arm64-warm,11,1,19.766
x64-warm,11,1,35.795
arm64-warm,12,0,56.546
x64-warm,12,0,78.394
arm64-warm,13,1,20.169
x64-warm,13,1,35.738
arm64-warm,14,0,58.150
x64-warm,14,0,76.572
arm64-warm,15,1,20.509
x64-warm,15,1,35.407
arm64-warm,16,0,56.757
x64-warm,16,0,79.743
arm64-warm,17,1,19.847
x64-warm,17,1,35.693
arm64-warm,18,0,57.450
x64-warm,18,0,81.351
arm64-warm,19,1,19.600
x64-warm,19,1,35.072
arm64-warm,20,0,61.464
x64-warm,20,0,74.169
