config,run,etl,pid,image,startup_ms,wall_ms,cpu_ms,ready_ms,wait_ms,disk_service_ms,disk_ios,disk_mb,hardfaults,hardfault_io_ms,images_loaded,disk_qd_median,cpu_on_ms
arm64-warm,1,c0-arm64-warm-001.etl,3728,7z.exe,42.337,654.352,0.000,0.613,34.646,0.000,0,0.000,0,0.000,17,0.000,15.421
arm64-warm,3,c0-arm64-warm-003.etl,3856,7z.exe,18.876,20.082,0.000,0.820,19.831,0.000,0,0.000,0,0.000,17,0.000,9.582
arm64-warm,5,c0-arm64-warm-005.etl,8372,7z.exe,18.723,19.889,0.000,0.886,19.516,0.000,0,0.000,0,0.000,17,0.000,9.349
arm64-warm,7,c0-arm64-warm-007.etl,8324,7z.exe,19.346,20.584,0.000,0.668,21.493,0.000,0,0.000,0,0.000,17,0.000,10.032
arm64-warm,9,c0-arm64-warm-009.etl,5108,7z.exe,18.434,19.638,0.000,0.780,19.485,0.000,0,0.000,0,0.000,17,0.000,9.287
arm64-warm,11,c0-arm64-warm-011.etl,1300,7z.exe,18.603,19.766,0.000,0.678,20.039,0.000,0,0.000,0,0.000,17,0.000,9.123
arm64-warm,13,c0-arm64-warm-013.etl,1332,7z.exe,18.959,20.168,0.000,0.845,20.007,0.000,0,0.000,0,0.000,17,0.000,9.254
arm64-warm,15,c0-arm64-warm-015.etl,352,7z.exe,19.312,20.509,0.000,0.778,20.597,0.000,0,0.000,0,0.000,17,0.000,9.391
arm64-warm,17,c0-arm64-warm-017.etl,8388,7z.exe,18.673,19.847,0.000,0.849,19.871,0.000,0,0.000,0,0.000,17,0.000,9.196
arm64-warm,19,c0-arm64-warm-019.etl,1476,7z.exe,18.455,19.600,0.000,0.745,19.361,0.000,0,0.000,0,0.000,17,0.000,9.170
x64-warm,1,c1-x64-warm-001.etl,4136,7z.exe,70.262,401.366,0.000,3.504,51.966,0.000,0,0.000,0,0.000,18,0.000,39.566
x64-warm,3,c1-x64-warm-003.etl,6808,7z.exe,34.107,35.917,0.000,1.576,33.555,0.000,0,0.000,0,0.000,18,0.000,22.629
x64-warm,5,c1-x64-warm-005.etl,3832,7z.exe,62.822,65.306,0.000,0.927,76.479,0.000,0,0.000,0,0.000,18,0.000,41.001
x64-warm,7,c1-x64-warm-007.etl,5964,7z.exe,34.410,36.076,0.000,1.185,33.733,0.000,0,0.000,0,0.000,18,0.000,23.126
x64-warm,9,c1-x64-warm-009.etl,9196,7z.exe,33.803,35.412,0.000,1.162,33.303,0.000,0,0.000,0,0.000,18,0.000,22.813
x64-warm,11,c1-x64-warm-011.etl,3968,7z.exe,34.013,35.795,0.000,1.188,34.492,0.000,0,0.000,0,0.000,18,0.000,22.514
x64-warm,13,c1-x64-warm-013.etl,4072,7z.exe,33.820,35.738,0.000,1.325,32.713,0.000,0,0.000,0,0.000,18,0.000,22.765
x64-warm,15,c1-x64-warm-015.etl,7956,7z.exe,33.706,35.407,0.000,1.096,33.723,0.000,0,0.000,0,0.000,18,0.000,22.324
x64-warm,17,c1-x64-warm-017.etl,5096,7z.exe,33.642,35.693,0.000,1.324,33.431,0.000,0,0.000,0,0.000,18,0.000,22.438
x64-warm,19,c1-x64-warm-019.etl,3604,7z.exe,33.508,35.072,0.000,1.138,32.928,0.000,0,0.000,0,0.000,18,0.000,22.315
