config,run,kind,key,count,bytes,ms
arm64-coldxta,1,readying,7z.exe,16,0.000,12.914
arm64-coldxta,1,readying,conhost.exe,2,0.000,12.562
arm64-coldxta,1,readying,powershell.exe,2,0.000,2.732
arm64-coldxta,1,readying,MsMpEng.exe,1,0.000,2.008
arm64-coldxta,1,readying,csrss.exe,2,0.000,0.031
arm64-coldxta,2,readying,7z.exe,16,0.000,10.358
arm64-coldxta,2,readying,conhost.exe,2,0.000,8.662
arm64-coldxta,2,readying,MsMpEng.exe,1,0.000,1.411
arm64-coldxta,2,readying,powershell.exe,2,0.000,0.364
arm64-coldxta,2,readying,csrss.exe,2,0.000,0.019
arm64-coldxta,3,readying,7z.exe,16,0.000,11.215
arm64-coldxta,3,readying,conhost.exe,2,0.000,8.255
arm64-coldxta,3,readying,MsMpEng.exe,1,0.000,1.420
arm64-coldxta,3,readying,powershell.exe,2,0.000,0.331
arm64-coldxta,3,readying,csrss.exe,2,0.000,0.022
arm64-coldxta,4,readying,7z.exe,15,0.000,9.937
arm64-coldxta,4,readying,conhost.exe,2,0.000,8.314
arm64-coldxta,4,readying,MsMpEng.exe,1,0.000,1.373
arm64-coldxta,4,readying,powershell.exe,2,0.000,0.319
arm64-coldxta,4,readying,csrss.exe,2,0.000,0.019
arm64-coldxta,5,readying,7z.exe,17,0.000,10.001
arm64-coldxta,5,readying,conhost.exe,2,0.000,8.407
arm64-coldxta,5,readying,MsMpEng.exe,1,0.000,1.392
arm64-coldxta,5,readying,powershell.exe,2,0.000,0.298
arm64-coldxta,5,readying,csrss.exe,2,0.000,0.021
arm64-coldxta,6,readying,7z.exe,16,0.000,10.146
arm64-coldxta,6,readying,conhost.exe,2,0.000,8.131
arm64-coldxta,6,readying,MsMpEng.exe,1,0.000,1.388
arm64-coldxta,6,readying,powershell.exe,2,0.000,0.327
arm64-coldxta,6,readying,csrss.exe,2,0.000,0.019
arm64-coldxta,7,readying,7z.exe,17,0.000,9.701
arm64-coldxta,7,readying,conhost.exe,2,0.000,8.355
arm64-coldxta,7,readying,MsMpEng.exe,1,0.000,1.457
arm64-coldxta,7,readying,powershell.exe,2,0.000,0.358
arm64-coldxta,7,readying,csrss.exe,2,0.000,0.020
arm64-coldxta,8,readying,7z.exe,16,0.000,9.746
arm64-coldxta,8,readying,conhost.exe,2,0.000,8.103
arm64-coldxta,8,readying,MsMpEng.exe,1,0.000,1.397
arm64-coldxta,8,readying,powershell.exe,2,0.000,0.325
arm64-coldxta,8,readying,csrss.exe,2,0.000,0.018
arm64-coldxta,9,readying,7z.exe,17,0.000,10.141
arm64-coldxta,9,readying,conhost.exe,2,0.000,8.204
arm64-coldxta,9,readying,MsMpEng.exe,1,0.000,1.448
arm64-coldxta,9,readying,powershell.exe,2,0.000,0.301
arm64-coldxta,9,readying,csrss.exe,2,0.000,0.021
arm64-coldxta,10,readying,7z.exe,16,0.000,10.090
arm64-coldxta,10,readying,conhost.exe,2,0.000,8.348
arm64-coldxta,10,readying,MsMpEng.exe,1,0.000,1.400
arm64-coldxta,10,readying,powershell.exe,2,0.000,0.330
arm64-coldxta,10,readying,csrss.exe,2,0.000,0.019
x64-coldxta,1,readying,7z.exe,18,0.000,28.384
x64-coldxta,1,readying,conhost.exe,2,0.000,11.497
x64-coldxta,1,readying,powershell.exe,2,0.000,5.366
x64-coldxta,1,readying,XtaCache.exe,17,0.000,2.267
x64-coldxta,1,readying,MsMpEng.exe,2,0.000,2.014
x64-coldxta,1,readying,csrss.exe,2,0.000,0.043
x64-coldxta,2,readying,7z.exe,13,0.000,14.603
x64-coldxta,2,readying,conhost.exe,2,0.000,7.613
x64-coldxta,2,readying,MsMpEng.exe,1,0.000,1.474
x64-coldxta,2,readying,XtaCache.exe,17,0.000,1.176
x64-coldxta,2,readying,powershell.exe,2,0.000,0.133
x64-coldxta,2,readying,csrss.exe,2,0.000,0.019
x64-coldxta,3,readying,7z.exe,18,0.000,25.024
x64-coldxta,3,readying,conhost.exe,2,0.000,8.918
x64-coldxta,3,readying,XtaCache.exe,17,0.000,1.781
x64-coldxta,3,readying,MsMpEng.exe,4,0.000,1.590
x64-coldxta,3,readying,powershell.exe,2,0.000,0.710
x64-coldxta,3,readying,csrss.exe,3,0.000,0.044
x64-coldxta,4,readying,7z.exe,18,0.000,22.559
x64-coldxta,4,readying,conhost.exe,2,0.000,8.438
x64-coldxta,4,readying,MsMpEng.exe,1,0.000,1.611
x64-coldxta,4,readying,XtaCache.exe,17,0.000,1.565
x64-coldxta,4,readying,powershell.exe,2,0.000,0.650
x64-coldxta,4,readying,csrss.exe,4,0.000,0.035
x64-coldxta,5,readying,7z.exe,18,0.000,24.929
x64-coldxta,5,readying,conhost.exe,2,0.000,8.968
x64-coldxta,5,readying,XtaCache.exe,17,0.000,1.683
x64-coldxta,5,readying,MsMpEng.exe,5,0.000,1.510
x64-coldxta,5,readying,powershell.exe,2,0.000,0.666
x64-coldxta,5,readying,csrss.exe,3,0.000,0.055
x64-coldxta,6,readying,7z.exe,22,0.000,23.408
x64-coldxta,6,readying,conhost.exe,2,0.000,8.291
x64-coldxta,6,readying,XtaCache.exe,17,0.000,1.517
x64-coldxta,6,readying,MsMpEng.exe,4,0.000,1.458
x64-coldxta,6,readying,powershell.exe,2,0.000,0.661
x64-coldxta,6,readying,csrss.exe,2,0.000,0.022
x64-coldxta,7,readying,7z.exe,20,0.000,25.483
x64-coldxta,7,readying,conhost.exe,2,0.000,8.958
x64-coldxta,7,readying,XtaCache.exe,17,0.000,1.728
x64-coldxta,7,readying,MsMpEng.exe,6,0.000,1.520
x64-coldxta,7,readying,powershell.exe,2,0.000,0.792
x64-coldxta,7,readying,csrss.exe,2,0.000,0.038
x64-coldxta,8,readying,7z.exe,18,0.000,23.114
x64-coldxta,8,readying,conhost.exe,2,0.000,8.088
x64-coldxta,8,readying,XtaCache.exe,17,0.000,1.530
x64-coldxta,8,readying,MsMpEng.exe,5,0.000,1.431
x64-coldxta,8,readying,powershell.exe,2,0.000,0.692
x64-coldxta,8,readying,csrss.exe,2,0.000,0.020
x64-coldxta,9,readying,7z.exe,18,0.000,23.745
x64-coldxta,9,readying,conhost.exe,2,0.000,8.053
x64-coldxta,9,readying,XtaCache.exe,17,0.000,1.538
x64-coldxta,9,readying,MsMpEng.exe,4,0.000,1.108
x64-coldxta,9,readying,powershell.exe,2,0.000,0.677
x64-coldxta,9,readying,csrss.exe,2,0.000,0.024
x64-coldxta,10,readying,7z.exe,19,0.000,25.250
x64-coldxta,10,readying,conhost.exe,2,0.000,8.679
x64-coldxta,10,readying,XtaCache.exe,17,0.000,1.722
x64-coldxta,10,readying,MsMpEng.exe,6,0.000,1.517
x64-coldxta,10,readying,powershell.exe,2,0.000,0.631
x64-coldxta,10,readying,csrss.exe,2,0.000,0.027
