"config","run","etl","pid","ll_startup_ms","xperf_startup_ms","ll_ready_ms","wpa_ready_ms","ll_wait_ms","wpa_wait_ms","ll_disk_service_ms","wpa_disk_service_ms","ll_disk_ios","wpa_disk_groups","ll_disk_mb","wpa_disk_mb","wpa_context_switches"
"arm64-coldxta","1","c0-arm64-coldxta-001.etl","8616","36.877","36.877","2.476","2.476","30.247","30.247","0","0","0","0","0","0","40"
"arm64-coldxta","2","c0-arm64-coldxta-002.etl","8084","19.217","19.217","0.348","0.348","20.815","20.815","0","0","0","0","0","0","33"
"arm64-coldxta","3","c0-arm64-coldxta-003.etl","4208","19.263","19.263","0.658","0.658","21.244","21.244","0","0","0","0","0","0","34"
"arm64-coldxta","4","c0-arm64-coldxta-004.etl","8808","18.865","18.865","0.825","0.825","19.961","19.961","0","0","0","0","0","0","39"
"arm64-coldxta","5","c0-arm64-coldxta-005.etl","4260","18.904","18.904","0.728","0.728","20.119","20.119","0","0","0","0","0","0","48"
"arm64-coldxta","6","c0-arm64-coldxta-006.etl","4072","18.636","18.637","0.745","0.745","20.011","20.011","0","0","0","0","0","0","45"
"arm64-coldxta","7","c0-arm64-coldxta-007.etl","3856","19.294","19.294","0.93","0.93","19.891","19.891","0","0","0","0","0","0","39"
"arm64-coldxta","8","c0-arm64-coldxta-008.etl","556","18.541","18.541","0.722","0.722","19.589","19.589","0","0","0","0","0","0","40"
"arm64-coldxta","9","c0-arm64-coldxta-009.etl","8976","18.866","18.866","0.685","0.685","20.114","20.114","0","0","0","0","0","0","47"
"arm64-coldxta","10","c0-arm64-coldxta-010.etl","6076","18.888","18.888","0.739","0.739","20.187","20.187","0","0","0","0","0","0","46"
"x64-coldxta","1","c1-x64-coldxta-001.etl","6120","66.688","66.689","2.922","2.922","49.571","49.571","0","0","0","0","0","0","78"
"x64-coldxta","2","c1-x64-coldxta-002.etl","6400","31.166","31.165","3.347","3.347","25.018","25.018","0","0","0","0","0","0","70"
"x64-coldxta","3","c1-x64-coldxta-003.etl","4080","34.775","34.775","1.296","1.296","38.069","38.069","0","0","0","0","0","0","74"
"x64-coldxta","4","c1-x64-coldxta-004.etl","3944","32.928","32.928","1.509","1.509","34.859","34.859","0","0","0","0","0","0","82"
"x64-coldxta","5","c1-x64-coldxta-005.etl","6928","35.253","35.253","1.446","1.446","37.811","37.811","0","0","0","0","0","0","77"
"x64-coldxta","6","c1-x64-coldxta-006.etl","4336","32.629","32.629","1.179","1.179","35.356","35.356","0","0","0","0","0","0","70"
"x64-coldxta","7","c1-x64-coldxta-007.etl","4124","36.176","36.176","0.715","0.715","38.518","38.518","0","0","0","0","0","0","62"
"x64-coldxta","8","c1-x64-coldxta-008.etl","4912","32.482","32.482","1.248","1.248","34.875","34.875","0","0","0","0","0","0","73"
"x64-coldxta","9","c1-x64-coldxta-009.etl","4952","32.03","32.03","0.636","0.636","35.145","35.145","0","0","0","0","0","0","58"
"x64-coldxta","10","c1-x64-coldxta-010.etl","8036","33.969","33.969","1.542","1.542","37.827","37.827","0","0","0","0","0","0","78"
