config,run,traced,wall_ms
arm64-coldxta,1,1,336.547
x64-coldxta,1,1,396.368
arm64-coldxta,2,1,20.282
x64-coldxta,2,1,32.735
arm64-coldxta,3,1,20.368
x64-coldxta,3,1,36.707
arm64-coldxta,4,1,19.991
x64-coldxta,4,1,34.689
arm64-coldxta,5,1,20.025
x64-coldxta,5,1,37.299
arm64-coldxta,6,1,19.728
x64-coldxta,6,1,34.093
arm64-coldxta,7,1,20.568
x64-coldxta,7,1,37.860
arm64-coldxta,8,1,19.684
x64-coldxta,8,1,34.055
arm64-coldxta,9,1,19.987
x64-coldxta,9,1,33.622
arm64-coldxta,10,1,20.027
x64-coldxta,10,1,35.850
