config,run,etl,pid,image,startup_ms,wall_ms,cpu_ms,ready_ms,wait_ms,disk_service_ms,disk_ios,disk_mb,hardfaults,hardfault_io_ms,images_loaded,disk_qd_median,cpu_on_ms
arm64-coldxta,1,c0-arm64-coldxta-001.etl,8616,7z.exe,36.877,336.547,0.000,2.476,30.247,0.000,0,0.000,0,0.000,17,0.000,13.899
arm64-coldxta,2,c0-arm64-coldxta-002.etl,8084,7z.exe,19.217,20.282,0.000,0.348,20.815,0.000,0,0.000,0,0.000,17,0.000,9.276
arm64-coldxta,3,c0-arm64-coldxta-003.etl,4208,7z.exe,19.263,20.368,0.000,0.658,21.244,0.000,0,0.000,0,0.000,17,0.000,9.775
arm64-coldxta,4,c0-arm64-coldxta-004.etl,8808,7z.exe,18.865,19.991,0.000,0.825,19.961,0.000,0,0.000,0,0.000,17,0.000,9.267
arm64-coldxta,5,c0-arm64-coldxta-005.etl,4260,7z.exe,18.904,20.025,0.000,0.728,20.119,0.000,0,0.000,0,0.000,17,0.000,9.417
arm64-coldxta,6,c0-arm64-coldxta-006.etl,4072,7z.exe,18.636,19.728,0.000,0.745,20.011,0.000,0,0.000,0,0.000,17,0.000,9.305
arm64-coldxta,7,c0-arm64-coldxta-007.etl,3856,7z.exe,19.294,20.568,0.000,0.930,19.891,0.000,0,0.000,0,0.000,17,0.000,9.667
arm64-coldxta,8,c0-arm64-coldxta-008.etl,556,7z.exe,18.541,19.684,0.000,0.722,19.589,0.000,0,0.000,0,0.000,17,0.000,9.295
arm64-coldxta,9,c0-arm64-coldxta-009.etl,8976,7z.exe,18.866,19.987,0.000,0.685,20.114,0.000,0,0.000,0,0.000,17,0.000,9.413
arm64-coldxta,10,c0-arm64-coldxta-010.etl,6076,7z.exe,18.888,20.027,0.000,0.739,20.187,0.000,0,0.000,0,0.000,17,0.000,9.195
x64-coldxta,1,c1-x64-coldxta-001.etl,6120,7z.exe,66.688,396.368,0.000,2.922,49.571,0.000,0,0.000,0,0.000,18,0.000,40.126
x64-coldxta,2,c1-x64-coldxta-002.etl,6400,7z.exe,31.166,32.735,0.000,3.347,25.018,0.000,0,0.000,0,0.000,18,0.000,21.840
x64-coldxta,3,c1-x64-coldxta-003.etl,4080,7z.exe,34.775,36.706,0.000,1.296,38.069,0.000,0,0.000,0,0.000,18,0.000,24.704
x64-coldxta,4,c1-x64-coldxta-004.etl,3944,7z.exe,32.928,34.689,0.000,1.509,34.859,0.000,0,0.000,0,0.000,18,0.000,23.673
x64-coldxta,5,c1-x64-coldxta-005.etl,6928,7z.exe,35.253,37.299,0.000,1.446,37.811,0.000,0,0.000,0,0.000,18,0.000,25.403
x64-coldxta,6,c1-x64-coldxta-006.etl,4336,7z.exe,32.629,34.093,0.000,1.179,35.356,0.000,0,0.000,0,0.000,18,0.000,23.397
x64-coldxta,7,c1-x64-coldxta-007.etl,4124,7z.exe,36.176,37.860,0.000,0.715,38.518,0.000,0,0.000,0,0.000,18,0.000,26.232
x64-coldxta,8,c1-x64-coldxta-008.etl,4912,7z.exe,32.482,34.055,0.000,1.248,34.875,0.000,0,0.000,0,0.000,18,0.000,23.389
x64-coldxta,9,c1-x64-coldxta-009.etl,4952,7z.exe,32.030,33.622,0.000,0.636,35.145,0.000,0,0.000,0,0.000,18,0.000,23.584
x64-coldxta,10,c1-x64-coldxta-010.etl,8036,7z.exe,33.969,35.850,0.000,1.542,37.827,0.000,0,0.000,0,0.000,18,0.000,24.402
