config,run,kind,key,count,bytes,ms
arm64-warm,1,readying,7z.exe,9,0.000,704.924
arm64-warm,1,readying,System,8,0.000,291.316
arm64-warm,1,readying,MsMpEng.exe,2,0.000,18.788
arm64-warm,1,readying,conhost.exe,2,0.000,14.423
arm64-warm,1,readying,powershell.exe,2,0.000,2.284
arm64-warm,1,readying,lsass.exe,11,0.000,0.625
arm64-warm,1,readying,Idle,1,0.000,0.216
arm64-warm,1,readying,csrss.exe,3,0.000,0.058
arm64-warm,1,disk_read_file,C:\Users\user\AppData\Local\Temp\launchlab-5ffc62e4\fixed-arm64\7z.dll,6,1766912.000,0.295
arm64-warm,2,readying,7z.exe,19,0.000,42.396
arm64-warm,2,readying,conhost.exe,2,0.000,8.180
arm64-warm,2,readying,MsMpEng.exe,1,0.000,1.429
arm64-warm,2,readying,powershell.exe,2,0.000,0.364
arm64-warm,2,readying,lsass.exe,11,0.000,0.242
arm64-warm,2,readying,csrss.exe,3,0.000,0.029
arm64-warm,3,readying,7z.exe,19,0.000,42.024
arm64-warm,3,readying,conhost.exe,2,0.000,8.091
arm64-warm,3,readying,MsMpEng.exe,1,0.000,1.507
arm64-warm,3,readying,powershell.exe,2,0.000,0.368
arm64-warm,3,readying,lsass.exe,11,0.000,0.226
arm64-warm,3,readying,csrss.exe,2,0.000,0.020
arm64-warm,4,readying,7z.exe,19,0.000,41.893
arm64-warm,4,readying,conhost.exe,2,0.000,8.034
arm64-warm,4,readying,MsMpEng.exe,1,0.000,1.546
arm64-warm,4,readying,powershell.exe,2,0.000,0.361
arm64-warm,4,readying,lsass.exe,11,0.000,0.224
arm64-warm,4,readying,csrss.exe,4,0.000,0.040
arm64-warm,5,readying,7z.exe,19,0.000,41.889
arm64-warm,5,readying,conhost.exe,2,0.000,8.238
arm64-warm,5,readying,MsMpEng.exe,1,0.000,1.440
arm64-warm,5,readying,powershell.exe,2,0.000,0.364
arm64-warm,5,readying,lsass.exe,11,0.000,0.225
arm64-warm,5,readying,csrss.exe,3,0.000,0.050
arm64-warm,6,readying,7z.exe,19,0.000,41.912
arm64-warm,6,readying,conhost.exe,2,0.000,8.162
arm64-warm,6,readying,MsMpEng.exe,1,0.000,1.447
arm64-warm,6,readying,powershell.exe,2,0.000,0.364
arm64-warm,6,readying,lsass.exe,11,0.000,0.231
arm64-warm,6,readying,csrss.exe,4,0.000,0.039
arm64-warm,7,readying,7z.exe,20,0.000,42.871
arm64-warm,7,readying,conhost.exe,2,0.000,8.800
arm64-warm,7,readying,MsMpEng.exe,1,0.000,1.501
arm64-warm,7,readying,powershell.exe,2,0.000,0.365
arm64-warm,7,readying,lsass.exe,11,0.000,0.260
arm64-warm,7,readying,csrss.exe,2,0.000,0.022
arm64-warm,8,readying,7z.exe,21,0.000,41.928
arm64-warm,8,readying,conhost.exe,2,0.000,8.170
arm64-warm,8,readying,MsMpEng.exe,3,0.000,1.467
arm64-warm,8,readying,powershell.exe,2,0.000,0.377
arm64-warm,8,readying,lsass.exe,11,0.000,0.244
arm64-warm,8,readying,csrss.exe,3,0.000,0.043
arm64-warm,9,readying,7z.exe,20,0.000,41.786
arm64-warm,9,readying,conhost.exe,2,0.000,13.058
arm64-warm,9,readying,MsMpEng.exe,1,0.000,1.475
arm64-warm,9,readying,powershell.exe,2,0.000,0.419
arm64-warm,9,readying,lsass.exe,11,0.000,0.228
arm64-warm,9,readying,csrss.exe,2,0.000,0.019
arm64-warm,10,readying,7z.exe,19,0.000,44.443
arm64-warm,10,readying,conhost.exe,2,0.000,8.217
arm64-warm,10,readying,MsMpEng.exe,1,0.000,1.494
arm64-warm,10,readying,powershell.exe,2,0.000,0.366
arm64-warm,10,readying,lsass.exe,11,0.000,0.225
arm64-warm,10,readying,WmiPrvSE.exe,3,0.000,0.034
arm64-warm,10,readying,csrss.exe,2,0.000,0.021
arm64-warm,11,readying,7z.exe,20,0.000,40.616
arm64-warm,11,readying,conhost.exe,2,0.000,8.336
arm64-warm,11,readying,MsMpEng.exe,1,0.000,1.497
arm64-warm,11,readying,powershell.exe,2,0.000,0.384
arm64-warm,11,readying,lsass.exe,11,0.000,0.249
arm64-warm,11,readying,csrss.exe,2,0.000,0.020
arm64-warm,12,readying,7z.exe,21,0.000,40.990
arm64-warm,12,readying,conhost.exe,2,0.000,8.141
arm64-warm,12,readying,MsMpEng.exe,1,0.000,1.417
arm64-warm,12,readying,powershell.exe,2,0.000,0.375
arm64-warm,12,readying,lsass.exe,11,0.000,0.239
arm64-warm,12,readying,csrss.exe,2,0.000,0.019
x64-warm,1,readying,7z.exe,21,0.000,1565.198
x64-warm,1,readying,System,8,0.000,292.623
x64-warm,1,readying,MsMpEng.exe,11,0.000,21.890
x64-warm,1,readying,conhost.exe,2,0.000,11.461
x64-warm,1,readying,powershell.exe,2,0.000,7.040
x64-warm,1,readying,XtaCache.exe,19,0.000,4.626
x64-warm,1,readying,lsass.exe,11,0.000,0.499
x64-warm,1,readying,Idle,1,0.000,0.321
x64-warm,1,readying,csrss.exe,2,0.000,0.034
