"config","run","etl","pid","ll_startup_ms","xperf_startup_ms","ll_ready_ms","wpa_ready_ms","ll_wait_ms","wpa_wait_ms","ll_disk_service_ms","wpa_disk_service_ms","ll_disk_ios","wpa_disk_groups","ll_disk_mb","wpa_disk_mb","wpa_context_switches"
"arm64-warm","1","c0-arm64-warm-001.etl","5132","395.096","395.096","7.855","7.855","1032.633","1032.633","0.295","0.295","6","1","1.685","1.685","65"
"arm64-warm","2","c0-arm64-warm-002.etl","4516","29.768","29.768","1.057","1.057","52.64","52.64","0","0","0","0","0","0","53"
"arm64-warm","3","c0-arm64-warm-003.etl","7900","29.592","29.592","0.85","0.85","52.236","52.236","0","0","0","0","0","0","56"
"arm64-warm","4","c0-arm64-warm-004.etl","4004","29.509","29.509","0.927","0.927","52.097","52.098","0","0","0","0","0","0","73"
"arm64-warm","5","c0-arm64-warm-005.etl","2704","29.745","29.745","1.041","1.041","52.205","52.205","0","0","0","0","0","0","64"
"arm64-warm","6","c0-arm64-warm-006.etl","7524","29.54","29.539","0.895","0.895","52.155","52.155","0","0","0","0","0","0","73"
"arm64-warm","7","c0-arm64-warm-007.etl","5764","30.825","30.825","0.886","0.886","53.82","53.82","0","0","0","0","0","0","62"
"arm64-warm","8","c0-arm64-warm-008.etl","3376","29.739","29.739","1.087","1.087","52.229","52.229","0","0","0","0","0","0","79"
"arm64-warm","9","c0-arm64-warm-009.etl","4992","34.495","34.495","0.912","0.912","56.985","56.985","0","0","0","0","0","0","61"
"arm64-warm","10","c0-arm64-warm-010.etl","2076","30.674","30.674","1.603","1.603","54.8","54.8","0","0","0","0","0","0","91"
"arm64-warm","11","c0-arm64-warm-011.etl","7156","29.815","29.815","1.003","1.003","51.102","51.102","0","0","0","0","0","0","54"
"arm64-warm","12","c0-arm64-warm-012.etl","7072","29.172","29.172","0.904","0.904","51.181","51.181","0","0","0","0","0","0","66"
"x64-warm","1","c1-x64-warm-001.etl","5540","452.874","452.875","4.354","4.354","1903.69","1903.69","0.46","0.46","6","1","1.817","1.817","118"
"x64-warm","2","c1-x64-warm-002.etl","8000","59.426","59.426","1.408","1.408","133.121","133.121","0","0","0","0","0","0","99"
"x64-warm","3","c1-x64-warm-003.etl","7956","57.852","57.852","1.318","1.318","129.144","129.144","0","0","0","0","0","0","91"
"x64-warm","4","c1-x64-warm-004.etl","2688","59.559","59.558","1.563","1.563","132.54","132.54","0","0","0","0","0","0","107"
"x64-warm","5","c1-x64-warm-005.etl","2984","58.24","58.24","1.285","1.285","129.799","129.799","0","0","0","0","0","0","82"
"x64-warm","6","c1-x64-warm-006.etl","8080","57.812","57.812","1.545","1.545","129.699","129.699","0","0","0","0","0","0","86"
"x64-warm","7","c1-x64-warm-007.etl","8796","58.634","58.634","1.638","1.638","131.271","131.271","0","0","0","0","0","0","100"
"x64-warm","8","c1-x64-warm-008.etl","3508","96.435","96.435","2.077","2.077","276.697","276.697","0","0","0","0","0","0","105"
"x64-warm","9","c1-x64-warm-009.etl","7028","58.46","58.46","1.38","1.38","130.206","130.206","0","0","0","0","0","0","89"
"x64-warm","10","c1-x64-warm-010.etl","8520","57.725","57.726","1.395","1.395","129.778","130.318","0","0","0","0","0","0","94"
"x64-warm","11","c1-x64-warm-011.etl","3832","59.817","59.817","1.479","1.479","131.325","131.325","0","0","0","0","0","0","83"
"x64-warm","12","c1-x64-warm-012.etl","7612","59.148","59.148","1.171","1.171","134.553","134.553","0","0","0","0","0","0","79"
