config,run,traced,wall_ms
arm64-warm,1,1,706.397
x64-warm,1,1,794.636
arm64-warm,2,1,31.204
x64-warm,2,1,61.422
arm64-warm,3,1,30.981
x64-warm,3,1,59.803
arm64-warm,4,1,31.049
x64-warm,4,1,61.486
arm64-warm,5,1,31.235
x64-warm,5,1,60.178
arm64-warm,6,1,31.035
x64-warm,6,1,60.165
arm64-warm,7,1,32.236
x64-warm,7,1,60.877
arm64-warm,8,1,31.386
x64-warm,8,1,98.223
arm64-warm,9,1,35.835
x64-warm,9,1,60.404
arm64-warm,10,1,32.034
x64-warm,10,1,59.761
arm64-warm,11,1,31.300
x64-warm,11,1,61.911
arm64-warm,12,1,30.723
x64-warm,12,1,61.166
