config,run,etl,pid,image,startup_ms,wall_ms,cpu_ms,ready_ms,wait_ms,disk_service_ms,disk_ios,disk_mb,hardfaults,hardfault_io_ms,images_loaded,disk_qd_median,cpu_on_ms
arm64-warm,1,c0-arm64-warm-001.etl,5132,7z.exe,395.096,706.397,0.000,7.855,1032.633,0.295,6,1.685,0,0.000,19,2.500,56.642
arm64-warm,2,c0-arm64-warm-002.etl,4516,7z.exe,29.768,31.204,0.000,1.057,52.640,0.000,0,0.000,0,0.000,19,0.000,20.287
arm64-warm,3,c0-arm64-warm-003.etl,7900,7z.exe,29.592,30.981,0.000,0.850,52.236,0.000,0,0.000,0,0.000,19,0.000,20.189
arm64-warm,4,c0-arm64-warm-004.etl,4004,7z.exe,29.509,31.049,0.000,0.927,52.097,0.000,0,0.000,0,0.000,19,0.000,19.985
arm64-warm,5,c0-arm64-warm-005.etl,2704,7z.exe,29.745,31.235,0.000,1.041,52.205,0.000,0,0.000,0,0.000,19,0.000,20.135
arm64-warm,6,c0-arm64-warm-006.etl,7524,7z.exe,29.540,31.035,0.000,0.895,52.155,0.000,0,0.000,0,0.000,19,0.000,19.972
arm64-warm,7,c0-arm64-warm-007.etl,5764,7z.exe,30.825,32.236,0.000,0.886,53.820,0.000,0,0.000,0,0.000,19,0.000,20.710
arm64-warm,8,c0-arm64-warm-008.etl,3376,7z.exe,29.739,31.386,0.000,1.087,52.229,0.000,0,0.000,0,0.000,19,0.000,20.152
arm64-warm,9,c0-arm64-warm-009.etl,4992,7z.exe,34.495,35.835,0.000,0.912,56.985,0.000,0,0.000,0,0.000,19,0.000,19.938
arm64-warm,10,c0-arm64-warm-010.etl,2076,7z.exe,30.674,32.034,0.000,1.603,54.800,0.000,0,0.000,0,0.000,19,0.000,20.402
arm64-warm,11,c0-arm64-warm-011.etl,7156,7z.exe,29.815,31.300,0.000,1.003,51.102,0.000,0,0.000,0,0.000,19,0.000,20.045
arm64-warm,12,c0-arm64-warm-012.etl,7072,7z.exe,29.172,30.723,0.000,0.904,51.181,0.000,0,0.000,0,0.000,19,0.000,19.781
x64-warm,1,c1-x64-warm-001.etl,5540,7z.exe,452.874,794.636,0.000,4.354,1903.690,0.460,6,1.817,0,0.000,20,2.500,108.749
x64-warm,2,c1-x64-warm-002.etl,8000,7z.exe,59.426,61.422,0.000,1.408,133.121,0.000,0,0.000,0,0.000,20,0.000,47.568
x64-warm,3,c1-x64-warm-003.etl,7956,7z.exe,57.852,59.803,0.000,1.318,129.144,0.000,0,0.000,0,0.000,20,0.000,46.349
x64-warm,4,c1-x64-warm-004.etl,2688,7z.exe,59.559,61.486,0.000,1.563,132.540,0.000,0,0.000,0,0.000,20,0.000,47.408
x64-warm,5,c1-x64-warm-005.etl,2984,7z.exe,58.240,60.178,0.000,1.285,129.799,0.000,0,0.000,0,0.000,20,0.000,46.698
x64-warm,6,c1-x64-warm-006.etl,8080,7z.exe,57.812,60.165,0.000,1.545,129.699,0.000,0,0.000,0,0.000,20,0.000,46.594
x64-warm,7,c1-x64-warm-007.etl,8796,7z.exe,58.634,60.877,0.000,1.638,131.271,0.000,0,0.000,0,0.000,20,0.000,46.769
x64-warm,8,c1-x64-warm-008.etl,3508,7z.exe,96.435,98.223,0.000,2.077,276.697,0.000,0,0.000,0,0.000,20,0.000,83.262
x64-warm,9,c1-x64-warm-009.etl,7028,7z.exe,58.460,60.404,0.000,1.380,130.206,0.000,0,0.000,0,0.000,20,0.000,46.604
x64-warm,10,c1-x64-warm-010.etl,8520,7z.exe,57.725,59.761,0.000,1.395,129.778,0.000,0,0.000,0,0.000,20,0.000,46.434
x64-warm,11,c1-x64-warm-011.etl,3832,7z.exe,59.817,61.911,0.000,1.479,131.325,0.000,0,0.000,0,0.000,20,0.000,48.010
x64-warm,12,c1-x64-warm-012.etl,7612,7z.exe,59.148,61.166,0.000,1.171,134.553,0.000,0,0.000,0,0.000,20,0.000,47.485
