config,run,kind,key,count,bytes,ms
x64-warm,1,module,ntoskrnl.exe,12,0.000,12.036
x64-warm,1,module,7z.dll,9,0.000,8.969
x64-warm,1,module,ntdll.dll,4,0.000,4.000
x64-warm,1,module,vgk.sys,1,0.000,1.081
x64-warm,1,readying,7z.exe,20,0.000,126.075
x64-warm,1,readying,MsMpEng.exe,4,0.000,24.682
x64-warm,1,readying,conhost.exe,2,0.000,7.308
x64-warm,1,readying,powershell.exe,2,0.000,4.390
x64-warm,1,readying,lsass.exe,11,0.000,0.360
x64-warm,1,readying,csrss.exe,2,0.000,0.030
x64-warm,2,module,ntoskrnl.exe,13,0.000,13.048
x64-warm,2,module,7z.dll,9,0.000,8.975
x64-warm,2,module,dxgkrnl.sys,1,0.000,1.000
x64-warm,2,readying,7z.exe,21,0.000,57.417
x64-warm,2,readying,conhost.exe,2,0.000,7.297
x64-warm,2,readying,MsMpEng.exe,1,0.000,2.152
x64-warm,2,readying,powershell.exe,2,0.000,0.652
x64-warm,2,readying,lsass.exe,11,0.000,0.365
x64-warm,2,readying,csrss.exe,2,0.000,0.031
x64-warm,3,module,ntoskrnl.exe,14,0.000,14.235
x64-warm,3,module,7z.dll,6,0.000,5.985
x64-warm,3,module,cldflt.sys,1,0.000,1.014
x64-warm,3,module,ntdll.dll,1,0.000,1.000
x64-warm,3,module,Ntfs.sys,1,0.000,1.000
x64-warm,3,module,FLTMGR.SYS,1,0.000,0.988
x64-warm,3,readying,7z.exe,19,0.000,56.797
x64-warm,3,readying,conhost.exe,2,0.000,7.403
x64-warm,3,readying,MsMpEng.exe,2,0.000,1.996
x64-warm,3,readying,powershell.exe,2,0.000,0.723
x64-warm,3,readying,lsass.exe,11,0.000,0.319
x64-warm,3,readying,csrss.exe,2,0.000,0.028
x64-warm,4,module,ntoskrnl.exe,15,0.000,15.025
x64-warm,4,module,7z.dll,5,0.000,5.004
x64-warm,4,module,Ntfs.sys,3,0.000,2.996
x64-warm,4,module,ntdll.dll,2,0.000,2.040
x64-warm,4,module,FLTMGR.SYS,1,0.000,1.000
x64-warm,4,module,KslD.sys,1,0.000,1.000
x64-warm,4,readying,7z.exe,20,0.000,60.313
x64-warm,4,readying,conhost.exe,2,0.000,8.215
x64-warm,4,readying,MsMpEng.exe,1,0.000,2.239
x64-warm,4,readying,powershell.exe,2,0.000,0.664
x64-warm,4,readying,lsass.exe,11,0.000,0.329
x64-warm,4,readying,csrss.exe,2,0.000,0.045
x64-warm,5,module,ntoskrnl.exe,12,0.000,11.997
x64-warm,5,module,7z.dll,8,0.000,7.984
x64-warm,5,module,ntdll.dll,2,0.000,2.066
x64-warm,5,module,advapi32.dll,1,0.000,1.017
x64-warm,5,module,FLTMGR.SYS,1,0.000,1.000
x64-warm,5,readying,7z.exe,20,0.000,56.070
x64-warm,5,readying,conhost.exe,2,0.000,7.087
x64-warm,5,readying,MsMpEng.exe,1,0.000,2.109
x64-warm,5,readying,powershell.exe,2,0.000,0.346
x64-warm,5,readying,lsass.exe,11,0.000,0.282
x64-warm,5,readying,csrss.exe,2,0.000,0.031
x64-warm,6,module,ntoskrnl.exe,10,0.000,10.031
x64-warm,6,module,7z.dll,7,0.000,6.953
x64-warm,6,module,ntdll.dll,4,0.000,4.000
x64-warm,6,module,cng.sys,1,0.000,1.021
x64-warm,6,module,ahcache.sys,1,0.000,1.000
x64-warm,6,module,vgk.sys,1,0.000,1.000
x64-warm,6,module,fileinfo.sys,1,0.000,0.994
x64-warm,6,readying,7z.exe,19,0.000,55.523
x64-warm,6,readying,conhost.exe,2,0.000,6.769
x64-warm,6,readying,MsMpEng.exe,1,0.000,2.109
x64-warm,6,readying,powershell.exe,2,0.000,0.651
x64-warm,6,readying,lsass.exe,11,0.000,0.278
x64-warm,6,readying,csrss.exe,2,0.000,0.029
x64-warm,7,module,7z.dll,9,0.000,8.938
x64-warm,7,module,ntoskrnl.exe,7,0.000,6.980
x64-warm,7,module,ntdll.dll,4,0.000,4.005
x64-warm,7,module,msvcp_win.dll,1,0.000,1.000
x64-warm,7,module,vgk.sys,1,0.000,1.000
x64-warm,7,module,UCPD.sys,1,0.000,1.000
x64-warm,7,module,Ntfs.sys,1,0.000,1.000
x64-warm,7,module,WdFilter.sys,1,0.000,1.000
x64-warm,7,module,FLTMGR.SYS,1,0.000,1.000
x64-warm,7,readying,7z.exe,21,0.000,56.666
x64-warm,7,readying,conhost.exe,2,0.000,7.319
x64-warm,7,readying,MsMpEng.exe,1,0.000,2.221
x64-warm,7,readying,powershell.exe,2,0.000,0.754
x64-warm,7,readying,lsass.exe,11,0.000,0.310
x64-warm,7,readying,csrss.exe,2,0.000,0.041
x64-warm,8,module,7z.dll,9,0.000,8.895
x64-warm,8,module,ntoskrnl.exe,7,0.000,6.970
x64-warm,8,module,WdFilter.sys,2,0.000,2.001
x64-warm,8,module,ntdll.dll,2,0.000,2.001
x64-warm,8,module,Ntfs.sys,1,0.000,1.035
x64-warm,8,module,ucrtbase.dll,1,0.000,1.000
x64-warm,8,readying,7z.exe,20,0.000,55.038
x64-warm,8,readying,conhost.exe,2,0.000,6.705
x64-warm,8,readying,MsMpEng.exe,1,0.000,2.129
x64-warm,8,readying,powershell.exe,2,0.000,0.704
x64-warm,8,readying,lsass.exe,11,0.000,0.275
x64-warm,8,readying,csrss.exe,2,0.000,0.026
