"config","run","etl","pid","ll_startup_ms","xperf_startup_ms","ll_ready_ms","wpa_ready_ms","ll_wait_ms","wpa_wait_ms","ll_disk_service_ms","wpa_disk_service_ms","ll_disk_ios","wpa_disk_groups","ll_disk_mb","wpa_disk_mb","wpa_context_switches"
"x64-warm","1","c0-x64-warm-001.etl","1412","63.476","63.476","0.294","0.294","162.845","162.845","0","0","0","0","0","0","42"
"x64-warm","2","c0-x64-warm-002.etl","8680","34.361","34.36","0.703","0.703","67.913","67.913","0","0","0","0","0","0","40"
"x64-warm","3","c0-x64-warm-003.etl","4244","34.043","34.043","0.862","0.862","67.266","67.266","0","0","0","0","0","0","41"
"x64-warm","4","c0-x64-warm-004.etl","2032","36.427","36.427","0.312","0.312","71.805","71.805","0","0","0","0","0","0","43"
"x64-warm","5","c0-x64-warm-005.etl","6712","33.433","33.433","0.578","0.578","65.926","65.926","0","0","0","0","0","0","38"
"x64-warm","6","c0-x64-warm-006.etl","3528","33.009","33.009","1.25","1.25","65.359","65.36","0","0","0","0","0","0","40"
"x64-warm","7","c0-x64-warm-007.etl","1396","34.233","34.233","0.359","0.359","67.312","67.312","0","0","0","0","0","0","42"
"x64-warm","8","c0-x64-warm-008.etl","2672","32.697","32.697","0.929","0.929","64.877","64.877","0","0","0","0","0","0","42"
"x64-warm","9","c0-x64-warm-009.etl","7444","32.49","32.49","0.696","0.696","63.791","63.791","0","0","0","0","0","0","40"
"x64-warm","10","c0-x64-warm-010.etl","6480","33.998","33.999","1.044","1.044","66.243","66.243","0","0","0","0","0","0","38"
"x64-warm","11","c0-x64-warm-011.etl","3080","31.506","31.506","0.447","0.447","62.276","62.276","0","0","0","0","0","0","39"
"x64-warm","12","c0-x64-warm-012.etl","5192","34.491","34.491","0.322","0.322","66.443","66.442","0","0","0","0","0","0","41"
"x86-warm","1","c1-x86-warm-001.etl","7692","77.611","77.611","0.674","0.674","207.479","207.479","0","0","0","0","0","0","40"
"x86-warm","2","c1-x86-warm-002.etl","5064","37.651","37.65","0.234","0.234","71.545","71.545","0","0","0","0","0","0","35"
"x86-warm","3","c1-x86-warm-003.etl","4608","36.469","36.469","0.227","0.227","69.354","69.354","0","0","0","0","0","0","35"
"x86-warm","4","c1-x86-warm-004.etl","8232","37.29","37.29","0.646","0.646","72.043","72.043","0","0","0","0","0","0","36"
"x86-warm","5","c1-x86-warm-005.etl","7172","38.483","38.483","0.246","0.246","73.581","73.581","0","0","0","0","0","0","35"
"x86-warm","6","c1-x86-warm-006.etl","8564","37.393","37.393","0.275","0.275","70.785","70.785","0","0","0","0","0","0","35"
"x86-warm","7","c1-x86-warm-007.etl","7668","35.187","35.187","0.27","0.27","66.383","66.383","0","0","0","0","0","0","36"
"x86-warm","8","c1-x86-warm-008.etl","5060","36.297","36.298","0.276","0.276","69.077","69.077","0","0","0","0","0","0","36"
"x86-warm","9","c1-x86-warm-009.etl","7676","34.919","34.919","0.557","0.557","66.586","66.578","0","0","0","0","0","0","34"
"x86-warm","10","c1-x86-warm-010.etl","5740","38.156","38.156","0.258","0.258","73.287","73.287","0","0","0","0","0","0","36"
"x86-warm","11","c1-x86-warm-011.etl","6576","36.03","36.029","0.65","0.65","68.896","68.896","0","0","0","0","0","0","37"
"x86-warm","12","c1-x86-warm-012.etl","2100","34.977","34.977","0.7","0.7","65.826","65.826","0","0","0","0","0","0","37"
