config,run,etl,pid,image,startup_ms,wall_ms,cpu_ms,ready_ms,wait_ms,disk_service_ms,disk_ios,disk_mb,hardfaults,hardfault_io_ms,images_loaded,disk_qd_median,cpu_on_ms
x64-warm,1,c0-x64-warm-001.etl,1412,7z.exe,63.476,89.467,26.087,0.294,162.845,0.000,0,0.000,0,0.000,18,0.000,25.555
x64-warm,2,c0-x64-warm-002.etl,8680,7z.exe,34.361,36.074,23.023,0.703,67.913,0.000,0,0.000,0,0.000,18,0.000,25.369
x64-warm,3,c0-x64-warm-003.etl,4244,7z.exe,34.043,35.722,24.221,0.862,67.266,0.000,0,0.000,0,0.000,18,0.000,25.011
x64-warm,4,c0-x64-warm-004.etl,2032,7z.exe,36.427,38.233,27.065,0.312,71.805,0.000,0,0.000,0,0.000,18,0.000,26.366
x64-warm,5,c0-x64-warm-005.etl,6712,7z.exe,33.433,35.103,24.064,0.578,65.926,0.000,0,0.000,0,0.000,18,0.000,24.830
x64-warm,6,c0-x64-warm-006.etl,3528,7z.exe,33.009,34.666,24.999,1.250,65.359,0.000,0,0.000,0,0.000,18,0.000,24.188
x64-warm,7,c0-x64-warm-007.etl,1396,7z.exe,34.233,35.986,25.923,0.359,67.312,0.000,0,0.000,0,0.000,18,0.000,25.055
x64-warm,8,c0-x64-warm-008.etl,2672,7z.exe,32.697,34.342,21.904,0.929,64.877,0.000,0,0.000,0,0.000,18,0.000,23.818
x64-warm,9,c0-x64-warm-009.etl,7444,7z.exe,32.490,34.112,22.993,0.696,63.791,0.000,0,0.000,0,0.000,18,0.000,23.703
x64-warm,10,c0-x64-warm-010.etl,6480,7z.exe,33.998,35.862,25.948,1.044,66.243,0.000,0,0.000,0,0.000,18,0.000,25.188
x64-warm,11,c0-x64-warm-011.etl,3080,7z.exe,31.506,33.144,23.059,0.447,62.276,0.000,0,0.000,0,0.000,18,0.000,23.221
x64-warm,12,c0-x64-warm-012.etl,5192,7z.exe,34.491,36.229,24.131,0.322,66.443,0.000,0,0.000,0,0.000,18,0.000,24.636
x86-warm,1,c1-x86-warm-001.etl,7692,7z.exe,77.611,104.752,32.026,0.674,207.479,0.000,0,0.000,0,0.000,23,0.000,29.800
x86-warm,2,c1-x86-warm-002.etl,5064,7z.exe,37.651,39.639,30.111,0.234,71.545,0.000,0,0.000,0,0.000,23,0.000,28.249
x86-warm,3,c1-x86-warm-003.etl,4608,7z.exe,36.469,38.220,27.076,0.227,69.354,0.000,0,0.000,0,0.000,23,0.000,27.736
x86-warm,4,c1-x86-warm-004.etl,8232,7z.exe,37.290,39.106,27.893,0.646,72.043,0.000,0,0.000,0,0.000,23,0.000,28.676
x86-warm,5,c1-x86-warm-005.etl,7172,7z.exe,38.483,40.461,29.073,0.246,73.581,0.000,0,0.000,0,0.000,23,0.000,29.245
x86-warm,6,c1-x86-warm-006.etl,8564,7z.exe,37.393,39.115,29.062,0.275,70.785,0.000,0,0.000,0,0.000,23,0.000,28.136
x86-warm,7,c1-x86-warm-007.etl,7668,7z.exe,35.187,36.932,25.853,0.270,66.383,0.000,0,0.000,0,0.000,23,0.000,26.896
x86-warm,8,c1-x86-warm-008.etl,5060,7z.exe,36.297,38.035,27.090,0.276,69.077,0.000,0,0.000,0,0.000,23,0.000,27.776
x86-warm,9,c1-x86-warm-009.etl,7676,7z.exe,34.919,36.649,26.985,0.557,66.586,0.000,0,0.000,0,0.000,23,0.000,26.740
x86-warm,10,c1-x86-warm-010.etl,5740,7z.exe,38.156,39.962,28.066,0.258,73.287,0.000,0,0.000,0,0.000,23,0.000,28.612
x86-warm,11,c1-x86-warm-011.etl,6576,7z.exe,36.030,37.788,30.971,0.650,68.896,0.000,0,0.000,0,0.000,23,0.000,27.306
x86-warm,12,c1-x86-warm-012.etl,2100,7z.exe,34.977,36.684,26.073,0.700,65.826,0.000,0,0.000,0,0.000,23,0.000,26.092
