config,run,kind,key,count,bytes,ms
x64-warm,1,module,ntoskrnl.exe,6,0.000,5.991
x64-warm,1,module,amdkmdag.sys,1,0.000,1.000
x64-warm,1,module,Ntfs.sys,1,0.000,1.000
x64-warm,1,readying,conhost.exe,2,0.000,7.593
x64-warm,1,readying,7z.exe,16,0.000,7.317
x64-warm,1,readying,powershell.exe,2,0.000,3.681
x64-warm,1,readying,MsMpEng.exe,1,0.000,2.009
x64-warm,1,readying,csrss.exe,2,0.000,0.034
x64-warm,2,module,ntoskrnl.exe,4,0.000,4.031
x64-warm,2,module,KernelBase.dll,1,0.000,1.010
x64-warm,2,module,ntdll.dll,1,0.000,1.000
x64-warm,2,module,luafv.sys,1,0.000,1.000
x64-warm,2,readying,7z.exe,16,0.000,8.241
x64-warm,2,readying,conhost.exe,2,0.000,7.560
x64-warm,2,readying,MsMpEng.exe,1,0.000,2.198
x64-warm,2,readying,powershell.exe,2,0.000,0.605
x64-warm,2,readying,csrss.exe,2,0.000,0.046
x64-warm,3,module,ntoskrnl.exe,5,0.000,5.058
x64-warm,3,readying,7z.exe,16,0.000,8.204
x64-warm,3,readying,conhost.exe,2,0.000,7.739
x64-warm,3,readying,MsMpEng.exe,1,0.000,2.182
x64-warm,3,readying,powershell.exe,2,0.000,0.629
x64-warm,3,readying,csrss.exe,2,0.000,0.051
x64-warm,4,module,ntoskrnl.exe,6,0.000,6.025
x64-warm,4,module,ntdll.dll,1,0.000,0.935
x64-warm,4,readying,7z.exe,16,0.000,7.962
x64-warm,4,readying,conhost.exe,2,0.000,7.689
x64-warm,4,readying,MsMpEng.exe,1,0.000,2.189
x64-warm,4,readying,powershell.exe,2,0.000,0.651
x64-warm,4,readying,csrss.exe,2,0.000,0.036
x64-warm,5,module,ntoskrnl.exe,6,0.000,6.032
x64-warm,5,module,ntdll.dll,1,0.000,1.022
x64-warm,5,readying,7z.exe,17,0.000,8.249
x64-warm,5,readying,conhost.exe,2,0.000,7.886
x64-warm,5,readying,MsMpEng.exe,1,0.000,2.182
x64-warm,5,readying,powershell.exe,2,0.000,0.682
x64-warm,5,readying,csrss.exe,2,0.000,0.041
x64-warm,6,module,ntoskrnl.exe,6,0.000,6.024
x64-warm,6,module,vgk.sys,1,0.000,1.027
x64-warm,6,readying,7z.exe,16,0.000,7.784
x64-warm,6,readying,conhost.exe,2,0.000,7.470
x64-warm,6,readying,MsMpEng.exe,1,0.000,2.113
x64-warm,6,readying,powershell.exe,2,0.000,0.688
