"config","run","etl","pid","ll_startup_ms","xperf_startup_ms","ll_ready_ms","wpa_ready_ms","ll_wait_ms","wpa_wait_ms","ll_disk_service_ms","wpa_disk_service_ms","ll_disk_ios","wpa_disk_groups","ll_disk_mb","wpa_disk_mb","wpa_context_switches"
"x64-warm","1","c0-x64-warm-001.etl","5580","23.544","23.544","0.627","0.627","20.635","20.627","0","0","0","0","0","0","25"
"x64-warm","2","c0-x64-warm-002.etl","4180","18.165","18.165","0.212","0.212","18.649","18.649","0","0","0","0","0","0","23"
"x64-warm","3","c0-x64-warm-003.etl","3644","18.24","18.24","0.187","0.187","18.805","18.805","0","0","0","0","0","0","23"
"x64-warm","4","c0-x64-warm-004.etl","2252","18.183","18.182","0.203","0.203","18.528","18.528","0","0","0","0","0","0","24"
"x64-warm","5","c0-x64-warm-005.etl","7392","18.836","18.836","0.267","0.267","19.04","19.04","0","0","0","0","0","0","26"
"x64-warm","6","c0-x64-warm-006.etl","5176","17.661","17.661","0.221","0.221","18.091","18.091","0","0","0","0","0","0","25"
"x64-warm","7","c0-x64-warm-007.etl","4432","19.655","19.655","0.297","0.297","20.828","20.828","0","0","0","0","0","0","25"
"x64-warm","8","c0-x64-warm-008.etl","3656","18.291","18.291","0.614","0.614","17.83","17.83","0","0","0","0","0","0","22"
"x64-warm","9","c0-x64-warm-009.etl","1040","19.525","19.526","0.267","0.267","19.413","19.413","0","0","0","0","0","0","25"
"x64-warm","10","c0-x64-warm-010.etl","3164","17.203","17.203","0.26","0.26","17.823","17.823","0","0","0","0","0","0","24"
"x64-warm","11","c0-x64-warm-011.etl","7076","18.532","18.532","0.215","0.215","19.11","19.11","0","0","0","0","0","0","24"
"x64-warm","12","c0-x64-warm-012.etl","8828","17.249","17.249","0.232","0.232","17.28","17.28","0","0","0","0","0","0","23"
"x64-warm","13","c0-x64-warm-013.etl","8704","16.542","16.542","0.731","0.731","16.062","16.062","0","0","0","0","0","0","23"
"x64-warm","14","c0-x64-warm-014.etl","9060","18.25","18.25","0.251","0.251","18.706","18.706","0","0","0","0","0","0","25"
"x64-warm","15","c0-x64-warm-015.etl","2856","16.495","16.495","0.521","0.521","16.151","16.151","0","0","0","0","0","0","23"
"x64-warm","16","c0-x64-warm-016.etl","7672","18.576","18.576","0.209","0.209","18.441","18.441","0","0","0","0","0","0","23"
"x64-warm","17","c0-x64-warm-017.etl","8620","17.994","17.994","0.642","0.642","17.629","17.629","0","0","0","0","0","0","25"
"x64-warm","18","c0-x64-warm-018.etl","7432","16.438","16.437","0.226","0.226","16.075","16.075","0","0","0","0","0","0","24"
"x64-warm","19","c0-x64-warm-019.etl","2080","17.6","17.599","0.233","0.233","17.608","17.608","0","0","0","0","0","0","24"
"x64-warm","20","c0-x64-warm-020.etl","2664","16.33","16.33","0.769","0.769","15.712","15.704","0","0","0","0","0","0","23"
"x86-warm","1","c1-x86-warm-001.etl","9036","27.201","27.201","0.82","0.82","23.905","23.905","0","0","0","0","0","0","24"
"x86-warm","2","c1-x86-warm-002.etl","2684","20.222","20.222","0.505","0.505","19.687","19.679","0","0","0","0","0","0","23"
"x86-warm","3","c1-x86-warm-003.etl","7852","22.157","22.156","0.212","0.212","21.857","21.857","0","0","0","0","0","0","24"
"x86-warm","4","c1-x86-warm-004.etl","1704","19.848","19.848","0.383","0.383","20.167","20.167","0","0","0","0","0","0","24"
"x86-warm","5","c1-x86-warm-005.etl","5636","20.066","20.066","0.213","0.213","20.499","20.499","0","0","0","0","0","0","23"
"x86-warm","6","c1-x86-warm-006.etl","7764","21.153","21.153","0.227","0.226","21.282","21.282","0","0","0","0","0","0","25"
"x86-warm","7","c1-x86-warm-007.etl","8872","20.864","20.864","0.23","0.23","20.879","20.879","0","0","0","0","0","0","25"
"x86-warm","8","c1-x86-warm-008.etl","3648","20.951","20.951","0.73","0.73","21.486","21.486","0","0","0","0","0","0","27"
"x86-warm","9","c1-x86-warm-009.etl","3108","20.804","20.805","0.227","0.227","20.737","20.737","0","0","0","0","0","0","25"
"x86-warm","10","c1-x86-warm-010.etl","8296","20.187","20.187","0.743","0.743","20.568","23.292","0","0","0","0","0","0","26"
"x86-warm","11","c1-x86-warm-011.etl","4124","20.147","20.147","1.024","1.024","19.468","22.064","0","0","0","0","0","0","24"
"x86-warm","12","c1-x86-warm-012.etl","6700","21.775","21.775","0.276","0.276","22.256","22.256","0","0","0","0","0","0","27"
"x86-warm","13","c1-x86-warm-013.etl","7776","18.864","18.865","0.424","0.424","18.801","18.801","0","0","0","0","0","0","21"
"x86-warm","14","c1-x86-warm-014.etl","5520","18.984","18.984","0.367","0.367","18.989","18.989","0","0","0","0","0","0","22"
"x86-warm","15","c1-x86-warm-015.etl","7424","21.686","21.687","0.274","0.274","21.331","21.331","0","0","0","0","0","0","25"
"x86-warm","16","c1-x86-warm-016.etl","3932","18.866","18.866","0.653","0.653","18.309","18.3","0","0","0","0","0","0","21"
"x86-warm","17","c1-x86-warm-017.etl","2492","21.047","21.048","0.239","0.239","20.807","20.807","0","0","0","0","0","0","24"
"x86-warm","18","c1-x86-warm-018.etl","8152","20.594","20.594","0.233","0.233","20.525","20.525","0","0","0","0","0","0","26"
"x86-warm","19","c1-x86-warm-019.etl","3456","18.807","18.807","0.483","0.483","18.956","18.951","0","0","0","0","0","0","22"
"x86-warm","20","c1-x86-warm-020.etl","3416","20.675","20.675","0.2","0.2","20.775","20.775","0","0","0","0","0","0","24"
