config,run,etl,pid,image,startup_ms,wall_ms,cpu_ms,ready_ms,wait_ms,disk_service_ms,disk_ios,disk_mb,hardfaults,hardfault_io_ms,images_loaded,disk_qd_median,cpu_on_ms
x64-warm,1,c0-x64-warm-001.etl,5580,7z.exe,23.544,47.876,7.991,0.627,20.635,0.000,0,0.000,0,0.000,16,0.000,8.849
x64-warm,2,c0-x64-warm-002.etl,4180,7z.exe,18.165,19.724,7.041,0.212,18.649,0.000,0,0.000,0,0.000,16,0.000,8.872
x64-warm,3,c0-x64-warm-003.etl,3644,7z.exe,18.240,19.798,5.058,0.187,18.805,0.000,0,0.000,0,0.000,16,0.000,8.837
x64-warm,4,c0-x64-warm-004.etl,2252,7z.exe,18.183,19.715,6.960,0.203,18.528,0.000,0,0.000,0,0.000,16,0.000,8.691
x64-warm,5,c0-x64-warm-005.etl,7392,7z.exe,18.836,20.393,7.054,0.267,19.040,0.000,0,0.000,0,0.000,16,0.000,9.444
x64-warm,6,c0-x64-warm-006.etl,5176,7z.exe,17.661,19.164,7.051,0.221,18.091,0.000,0,0.000,0,0.000,16,0.000,8.421
x64-warm,7,c0-x64-warm-007.etl,4432,7z.exe,19.655,21.276,8.098,0.297,20.828,0.000,0,0.000,0,0.000,16,0.000,9.580
x64-warm,8,c0-x64-warm-008.etl,3656,7z.exe,18.291,19.852,7.028,0.614,17.830,0.000,0,0.000,0,0.000,16,0.000,8.750
x64-warm,9,c0-x64-warm-009.etl,1040,7z.exe,19.525,21.227,9.079,0.267,19.413,0.000,0,0.000,0,0.000,16,0.000,9.456
x64-warm,10,c0-x64-warm-010.etl,3164,7z.exe,17.203,18.658,7.883,0.260,17.823,0.000,0,0.000,0,0.000,16,0.000,8.515
x64-warm,11,c0-x64-warm-011.etl,7076,7z.exe,18.532,20.116,11.044,0.215,19.110,0.000,0,0.000,0,0.000,16,0.000,8.852
x64-warm,12,c0-x64-warm-012.etl,8828,7z.exe,17.249,18.753,10.107,0.232,17.280,0.000,0,0.000,0,0.000,16,0.000,8.596
x64-warm,13,c0-x64-warm-013.etl,8704,7z.exe,16.542,17.941,5.996,0.731,16.062,0.000,0,0.000,0,0.000,16,0.000,8.092
x64-warm,14,c0-x64-warm-014.etl,9060,7z.exe,18.250,19.792,9.079,0.251,18.706,0.000,0,0.000,0,0.000,16,0.000,9.094
x64-warm,15,c0-x64-warm-015.etl,2856,7z.exe,16.495,18.060,6.944,0.521,16.151,0.000,0,0.000,0,0.000,16,0.000,8.023
x64-warm,16,c0-x64-warm-016.etl,7672,7z.exe,18.576,20.177,10.993,0.209,18.441,0.000,0,0.000,0,0.000,16,0.000,9.114
x64-warm,17,c0-x64-warm-017.etl,8620,7z.exe,17.994,19.480,6.004,0.642,17.629,0.000,0,0.000,0,0.000,16,0.000,8.741
x64-warm,18,c0-x64-warm-018.etl,7432,7z.exe,16.438,17.870,7.998,0.226,16.075,0.000,0,0.000,0,0.000,16,0.000,7.797
