config,run,kind,key,count,bytes,ms
arm64-warm,1,readying,7z.exe,17,0.000,12.098
arm64-warm,1,readying,conhost.exe,2,0.000,9.722
arm64-warm,1,readying,powershell.exe,2,0.000,3.649
arm64-warm,1,readying,MsMpEng.exe,1,0.000,1.392
arm64-warm,1,readying,csrss.exe,2,0.000,0.041
arm64-warm,2,readying,7z.exe,17,0.000,10.867
arm64-warm,2,readying,conhost.exe,2,0.000,9.455
arm64-warm,2,readying,MsMpEng.exe,1,0.000,1.538
arm64-warm,2,readying,powershell.exe,2,0.000,0.345
arm64-warm,2,readying,csrss.exe,2,0.000,0.034
arm64-warm,3,readying,7z.exe,17,0.000,13.873
arm64-warm,3,readying,conhost.exe,2,0.000,10.175
arm64-warm,3,readying,MsMpEng.exe,1,0.000,1.673
arm64-warm,3,readying,powershell.exe,2,0.000,0.496
arm64-warm,3,readying,csrss.exe,2,0.000,0.044
arm64-warm,4,readying,7z.exe,16,0.000,9.529
arm64-warm,4,readying,conhost.exe,2,0.000,8.275
arm64-warm,4,readying,MsMpEng.exe,1,0.000,1.410
arm64-warm,4,readying,powershell.exe,2,0.000,0.305
arm64-warm,4,readying,csrss.exe,2,0.000,0.020
arm64-warm,5,readying,conhost.exe,2,0.000,16.302
arm64-warm,5,readying,7z.exe,16,0.000,13.189
arm64-warm,5,readying,MsMpEng.exe,1,0.000,1.526
arm64-warm,5,readying,powershell.exe,2,0.000,0.401
arm64-warm,5,readying,csrss.exe,2,0.000,0.062
arm64-warm,6,readying,7z.exe,16,0.000,9.981
arm64-warm,6,readying,conhost.exe,2,0.000,8.363
arm64-warm,6,readying,MsMpEng.exe,1,0.000,1.515
arm64-warm,6,readying,powershell.exe,2,0.000,0.289
arm64-warm,6,readying,csrss.exe,2,0.000,0.022
arm64-warm,7,readying,7z.exe,15,0.000,9.832
arm64-warm,7,readying,conhost.exe,2,0.000,8.943
arm64-warm,7,readying,MsMpEng.exe,1,0.000,1.510
arm64-warm,7,readying,powershell.exe,2,0.000,0.357
arm64-warm,7,readying,csrss.exe,2,0.000,0.024
arm64-warm,8,readying,7z.exe,17,0.000,11.239
arm64-warm,8,readying,conhost.exe,2,0.000,8.761
arm64-warm,8,readying,MsMpEng.exe,1,0.000,1.697
arm64-warm,8,readying,powershell.exe,2,0.000,0.358
arm64-warm,8,readying,csrss.exe,2,0.000,0.033
arm64-warm,9,readying,7z.exe,16,0.000,11.747
arm64-warm,9,readying,conhost.exe,2,0.000,9.223
arm64-warm,9,readying,MsMpEng.exe,1,0.000,1.546
arm64-warm,9,readying,powershell.exe,2,0.000,0.320
arm64-warm,9,readying,csrss.exe,2,0.000,0.040
arm64-warm,10,readying,7z.exe,17,0.000,10.168
arm64-warm,10,readying,conhost.exe,2,0.000,8.638
arm64-warm,10,readying,MsMpEng.exe,1,0.000,1.548
arm64-warm,10,readying,powershell.exe,2,0.000,0.332
arm64-warm,10,readying,csrss.exe,2,0.000,0.027
arm64-warm,11,readying,conhost.exe,2,0.000,9.202
arm64-warm,11,readying,7z.exe,11,0.000,6.905
arm64-warm,11,readying,MsMpEng.exe,1,0.000,1.411
arm64-warm,11,readying,csrss.exe,2,0.000,0.034
arm64-warm,11,readying,powershell.exe,1,0.000,0.001
arm64-warm,12,readying,7z.exe,16,0.000,10.511
arm64-warm,12,readying,conhost.exe,2,0.000,8.336
arm64-warm,12,readying,MsMpEng.exe,1,0.000,1.458
arm64-warm,12,readying,powershell.exe,2,0.000,0.340
arm64-warm,12,readying,csrss.exe,2,0.000,0.031
arm64-warm,13,readying,7z.exe,16,0.000,11.278
arm64-warm,13,readying,conhost.exe,2,0.000,8.689
arm64-warm,13,readying,MsMpEng.exe,1,0.000,1.462
arm64-warm,13,readying,powershell.exe,2,0.000,0.320
arm64-warm,13,readying,csrss.exe,2,0.000,0.026
arm64-warm,14,readying,7z.exe,16,0.000,10.133
arm64-warm,14,readying,conhost.exe,2,0.000,8.232
arm64-warm,14,readying,MsMpEng.exe,1,0.000,1.485
arm64-warm,14,readying,powershell.exe,2,0.000,0.316
arm64-warm,14,readying,csrss.exe,2,0.000,0.022
arm64-warm,15,readying,7z.exe,16,0.000,13.295
arm64-warm,15,readying,conhost.exe,2,0.000,9.824
arm64-warm,15,readying,MsMpEng.exe,1,0.000,1.540
arm64-warm,15,readying,powershell.exe,2,0.000,0.327
arm64-warm,15,readying,csrss.exe,2,0.000,0.046
arm64-warm,16,readying,7z.exe,16,0.000,10.926
arm64-warm,16,readying,conhost.exe,2,0.000,9.065
arm64-warm,16,readying,MsMpEng.exe,1,0.000,1.462
arm64-warm,16,readying,powershell.exe,2,0.000,0.305
arm64-warm,16,readying,csrss.exe,2,0.000,0.024
arm64-warm,17,readying,7z.exe,17,0.000,10.068
arm64-warm,17,readying,conhost.exe,2,0.000,8.156
arm64-warm,17,readying,MsMpEng.exe,1,0.000,1.391
arm64-warm,17,readying,powershell.exe,2,0.000,0.318
arm64-warm,17,readying,csrss.exe,2,0.000,0.095
arm64-warm,18,readying,7z.exe,12,0.000,14.727
arm64-warm,18,readying,conhost.exe,2,0.000,9.817
arm64-warm,18,readying,MsMpEng.exe,1,0.000,1.804
arm64-warm,18,readying,powershell.exe,2,0.000,0.396
arm64-warm,18,readying,csrss.exe,2,0.000,0.045
arm64-warm,19,readying,7z.exe,16,0.000,9.846
arm64-warm,19,readying,conhost.exe,2,0.000,8.141
arm64-warm,19,readying,MsMpEng.exe,1,0.000,1.410
arm64-warm,19,readying,powershell.exe,2,0.000,0.339
arm64-warm,19,readying,csrss.exe,2,0.000,0.019
arm64-warm,20,readying,7z.exe,16,0.000,9.796
arm64-warm,20,readying,conhost.exe,2,0.000,8.150
arm64-warm,20,readying,MsMpEng.exe,1,0.000,1.452
arm64-warm,20,readying,powershell.exe,2,0.000,0.295
arm64-warm,20,readying,csrss.exe,2,0.000,0.021
x64-warm,1,readying,7z.exe,20,0.000,26.318
x64-warm,1,readying,conhost.exe,2,0.000,11.627
x64-warm,1,readying,powershell.exe,2,0.000,5.677
x64-warm,1,readying,XtaCache.exe,17,0.000,4.174
x64-warm,1,readying,MsMpEng.exe,1,0.000,2.032
x64-warm,1,readying,csrss.exe,4,0.000,0.058
x64-warm,2,readying,7z.exe,18,0.000,19.433
x64-warm,2,readying,conhost.exe,2,0.000,8.540
x64-warm,2,readying,XtaCache.exe,17,0.000,3.323
x64-warm,2,readying,MsMpEng.exe,1,0.000,1.475
x64-warm,2,readying,powershell.exe,2,0.000,0.696
x64-warm,2,readying,csrss.exe,2,0.000,0.031
x64-warm,3,readying,7z.exe,19,0.000,27.027
x64-warm,3,readying,conhost.exe,2,0.000,11.005
x64-warm,3,readying,XtaCache.exe,17,0.000,4.127
x64-warm,3,readying,MsMpEng.exe,5,0.000,1.616
x64-warm,3,readying,powershell.exe,2,0.000,1.058
x64-warm,3,readying,csrss.exe,3,0.000,0.051
x64-warm,4,readying,7z.exe,18,0.000,19.522
x64-warm,4,readying,conhost.exe,2,0.000,8.206
x64-warm,4,readying,XtaCache.exe,17,0.000,3.272
x64-warm,4,readying,MsMpEng.exe,4,0.000,1.446
x64-warm,4,readying,powershell.exe,2,0.000,0.685
x64-warm,4,readying,csrss.exe,2,0.000,0.024
x64-warm,5,readying,conhost.exe,2,0.000,12.481
x64-warm,5,readying,7z.exe,6,0.000,3.396
x64-warm,5,readying,XtaCache.exe,17,0.000,2.954
x64-warm,5,readying,MsMpEng.exe,1,0.000,1.371
x64-warm,5,readying,powershell.exe,3,0.000,0.784
x64-warm,5,readying,csrss.exe,2,0.000,0.032
x64-warm,5,readying,svchost.exe,1,0.000,0.009
x64-warm,6,readying,7z.exe,19,0.000,26.323
x64-warm,6,readying,conhost.exe,2,0.000,10.444
x64-warm,6,readying,XtaCache.exe,17,0.000,4.445
