config,run,traced,wall_ms
arm64-warm,1,0,607.816
x64-warm,1,0,456.588
arm64-warm,2,0,36.347
x64-warm,2,0,77.234
arm64-warm,3,0,52.995
x64-warm,3,0,75.857
arm64-warm,4,0,53.034
x64-warm,4,0,74.187
arm64-warm,5,0,40.137
x64-warm,5,0,82.325
arm64-warm,6,0,58.997
x64-warm,6,0,83.253
arm64-warm,7,0,57.165
x64-warm,7,0,77.515
arm64-warm,8,0,59.551
x64-warm,8,0,82.368
arm64-warm,9,0,58.435
x64-warm,9,0,79.060
arm64-warm,10,0,50.822
x64-warm,10,0,75.942
arm64-warm,11,0,53.004
x64-warm,11,0,67.002
arm64-warm,12,0,57.323
x64-warm,12,0,83.469
arm64-warm,13,0,54.819
x64-warm,13,0,65.071
arm64-warm,14,0,52.860
x64-warm,14,0,84.231
arm64-warm,15,0,27.153
x64-warm,15,0,76.794
arm64-warm,16,0,56.062
x64-warm,16,0,71.061
arm64-warm,17,0,53.424
x64-warm,17,0,78.024
arm64-warm,18,0,59.555
x64-warm,18,0,80.824
arm64-warm,19,0,54.822
x64-warm,19,0,75.989
arm64-warm,20,0,44.267
x64-warm,20,0,71.069
arm64-warm,1,1,627.143
x64-warm,1,1,425.255
arm64-warm,2,1,22.501
x64-warm,2,1,36.889
arm64-warm,3,1,25.242
x64-warm,3,1,45.409
arm64-warm,4,1,19.718
x64-warm,4,1,36.204
arm64-warm,5,1,31.487
x64-warm,5,1,47.795
arm64-warm,6,1,20.198
x64-warm,6,1,45.183
arm64-warm,7,1,21.473
x64-warm,7,1,42.312
arm64-warm,8,1,22.081
x64-warm,8,1,40.356
arm64-warm,9,1,22.762
x64-warm,9,1,40.875
arm64-warm,10,1,21.049
x64-warm,10,1,39.569
arm64-warm,11,1,21.839
x64-warm,11,1,39.937
arm64-warm,12,1,20.400
x64-warm,12,1,37.521
arm64-warm,13,1,21.389
x64-warm,13,1,39.801
arm64-warm,14,1,19.874
x64-warm,14,1,34.936
arm64-warm,15,1,23.960
x64-warm,15,1,48.820
arm64-warm,16,1,21.015
x64-warm,16,1,39.913
arm64-warm,17,1,19.887
x64-warm,17,1,35.840
arm64-warm,18,1,24.724
x64-warm,18,1,34.879
arm64-warm,19,1,19.605
x64-warm,19,1,35.160
arm64-warm,20,1,19.774
x64-warm,20,1,35.044
