config,run,etl,pid,image,startup_ms,wall_ms,cpu_ms,ready_ms,wait_ms,disk_service_ms,disk_ios,disk_mb,hardfaults,hardfault_io_ms,images_loaded,disk_qd_median
arm64-warm,1,c0-arm64-warm-001.etl,3952,7z.exe,33.727,627.143,0.000,2.049,26.902,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,2,c0-arm64-warm-002.etl,3508,7z.exe,21.075,22.501,0.000,0.851,22.238,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,3,c0-arm64-warm-003.etl,2820,7z.exe,23.746,25.242,0.000,0.717,26.262,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,4,c0-arm64-warm-004.etl,840,7z.exe,18.693,19.718,0.000,0.924,19.540,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,5,c0-arm64-warm-005.etl,8372,7z.exe,29.850,31.487,0.000,0.766,31.480,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,6,c0-arm64-warm-006.etl,7032,7z.exe,19.107,20.198,0.000,0.893,20.170,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,7,c0-arm64-warm-007.etl,2620,7z.exe,20.157,21.473,0.000,0.923,20.665,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,8,c0-arm64-warm-008.etl,1444,7z.exe,20.881,22.081,0.000,0.771,22.089,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,9,c0-arm64-warm-009.etl,8840,7z.exe,21.518,22.762,0.000,0.738,22.875,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,10,c0-arm64-warm-010.etl,3132,7z.exe,19.799,21.049,0.000,0.812,20.714,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,11,c0-arm64-warm-011.etl,7128,7z.exe,20.569,21.839,0.000,1.941,17.552,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,12,c0-arm64-warm-012.etl,3968,7z.exe,19.162,20.400,0.000,0.743,20.676,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,13,c0-arm64-warm-013.etl,4736,7z.exe,20.033,21.389,0.000,0.741,21.775,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,14,c0-arm64-warm-014.etl,5620,7z.exe,18.803,19.874,0.000,0.671,20.188,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,15,c0-arm64-warm-015.etl,8280,7z.exe,22.636,23.960,0.000,0.737,25.032,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,16,c0-arm64-warm-016.etl,8608,7z.exe,19.869,21.014,0.000,0.650,21.782,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,17,c0-arm64-warm-017.etl,6912,7z.exe,18.693,19.887,0.000,0.768,20.027,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,18,c0-arm64-warm-018.etl,504,7z.exe,23.309,24.724,0.000,1.101,26.789,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,19,c0-arm64-warm-019.etl,1952,7z.exe,18.473,19.605,0.000,0.373,19.755,0.000,0,0.000,0,0.000,17,0.000
arm64-warm,20,c0-arm64-warm-020.etl,4372,7z.exe,18.620,19.774,0.000,0.820,19.714,0.000,0,0.000,0,0.000,17,0.000
x64-warm,1,c1-x64-warm-001.etl,1500,7z.exe,68.926,425.255,0.000,3.128,49.884,0.000,0,0.000,0,0.000,18,0.000
x64-warm,2,c1-x64-warm-002.etl,7744,7z.exe,35.207,36.889,0.000,1.282,33.498,0.000,0,0.000,0,0.000,18,0.000
x64-warm,3,c1-x64-warm-003.etl,6540,7z.exe,42.906,45.409,0.000,2.003,44.885,0.000,0,0.000,0,0.000,18,0.000
x64-warm,4,c1-x64-warm-004.etl,8020,7z.exe,34.244,36.204,0.000,1.551,33.156,0.000,0,0.000,0,0.000,18,0.000
x64-warm,5,c1-x64-warm-005.etl,5808,7z.exe,46.014,47.795,0.000,20.339,21.028,0.000,0,0.000,0,0.000,18,0.000
x64-warm,6,c1-x64-warm-006.etl,8644,7z.exe,42.885,45.183,0.000,1.541,43.801,0.000,0,0.000,0,0.000,18,0.000
x64-warm,7,c1-x64-warm-007.etl,8048,7z.exe,40.216,42.312,0.000,2.106,39.700,0.000,0,0.000,0,0.000,18,0.000
x64-warm,8,c1-x64-warm-008.etl,4752,7z.exe,38.592,40.356,0.000,1.382,36.428,0.000,0,0.000,0,0.000,18,0.000
x64-warm,9,c1-x64-warm-009.etl,8900,7z.exe,38.756,40.875,0.000,1.377,38.265,0.000,0,0.000,0,0.000,18,0.000
x64-warm,10,c1-x64-warm-010.etl,1864,7z.exe,37.111,39.569,0.000,1.801,37.634,0.000,0,0.000,0,0.000,18,0.000
x64-warm,11,c1-x64-warm-011.etl,8936,7z.exe,37.724,39.937,0.000,1.627,36.877,0.000,0,0.000,0,0.000,18,0.000
x64-warm,12,c1-x64-warm-012.etl,8140,7z.exe,35.735,37.521,0.000,1.189,35.196,0.000,0,0.000,0,0.000,18,0.000
x64-warm,13,c1-x64-warm-013.etl,7852,7z.exe,37.870,39.801,0.000,1.663,38.997,0.000,0,0.000,0,0.000,18,0.000
x64-warm,14,c1-x64-warm-014.etl,8096,7z.exe,33.206,34.936,0.000,1.265,32.859,0.000,0,0.000,0,0.000,18,0.000
x64-warm,15,c1-x64-warm-015.etl,448,7z.exe,46.603,48.820,0.000,1.372,46.908,0.000,0,0.000,0,0.000,18,0.000
x64-warm,16,c1-x64-warm-016.etl,3980,7z.exe,37.828,39.913,0.000,1.538,36.968,0.000,0,0.000,0,0.000,18,0.000
x64-warm,17,c1-x64-warm-017.etl,2264,7z.exe,34.153,35.840,0.000,1.266,32.879,0.000,0,0.000,0,0.000,18,0.000
x64-warm,18,c1-x64-warm-018.etl,8088,7z.exe,33.221,34.878,0.000,1.300,32.381,0.000,0,0.000,0,0.000,18,0.000
x64-warm,19,c1-x64-warm-019.etl,6740,7z.exe,33.521,35.160,0.000,1.237,32.655,0.000,0,0.000,0,0.000,18,0.000
x64-warm,20,c1-x64-warm-020.etl,1500,7z.exe,33.413,35.044,0.000,1.162,32.254,0.000,0,0.000,0,0.000,18,0.000
