config,run,traced,wall_ms
arm64-warm,1,0,622.255
x64-warm,1,0,394.808
arm64-warm,2,0,21.197
x64-warm,2,0,36.835
arm64-warm,3,0,19.874
x64-warm,3,0,35.150
arm64-warm,4,0,19.276
x64-warm,4,0,34.560
arm64-warm,5,0,19.870
x64-warm,5,0,34.431
arm64-warm,6,0,19.374
x64-warm,6,0,36.090
arm64-warm,7,0,19.547
x64-warm,7,0,34.815
arm64-warm,8,0,19.224
x64-warm,8,0,34.547
arm64-warm,9,0,19.505
x64-warm,9,0,35.393
arm64-warm,10,0,19.836
x64-warm,10,0,33.891
arm64-warm,11,0,19.055
x64-warm,11,0,34.551
arm64-warm,12,0,19.255
x64-warm,12,0,35.257
arm64-warm,13,0,21.278
x64-warm,13,0,37.664
arm64-warm,14,0,21.125
x64-warm,14,0,34.403
arm64-warm,15,0,19.749
x64-warm,15,0,35.818
