config,run,kind,key,count,bytes,ms
spike,1,readying,launchlab.exe,39,0.000,3380.214
spike,1,readying,System,5,0.000,335.453
spike,1,readying,MsMpEng.exe,8,0.000,192.426
spike,1,readying,Idle,3,0.000,116.848
spike,1,readying,conhost.exe,7,0.000,17.353
spike,1,readying,powershell.exe,2,0.000,3.779
spike,1,readying,csrss.exe,2,0.000,0.044
spike,1,disk_write_file,C:\Users\user\AppData\Local\Temp\launchlab-4ad71e15\fixed-spike\launchlab.dll,1,53248.000,1.024
spike,1,disk_read_file,C:\Users\user\AppData\Local\Temp\launchlab-4ad71e15\fixed-spike\launchlab.dll,3,47104.000,0.060
spike,2,readying,launchlab.exe,34,0.000,113.247
spike,2,readying,conhost.exe,7,0.000,8.458
spike,2,readying,MsMpEng.exe,1,0.000,1.487
spike,2,readying,powershell.exe,2,0.000,0.317
spike,2,readying,csrss.exe,2,0.000,0.023
spike,3,readying,launchlab.exe,34,0.000,112.090
spike,3,readying,conhost.exe,7,0.000,8.346
spike,3,readying,MsMpEng.exe,1,0.000,1.398
spike,3,readying,powershell.exe,2,0.000,0.318
spike,3,readying,csrss.exe,4,0.000,0.041
spike,4,readying,launchlab.exe,35,0.000,133.288
spike,4,readying,conhost.exe,7,0.000,8.503
spike,4,readying,MsMpEng.exe,1,0.000,1.439
spike,4,readying,powershell.exe,2,0.000,0.341
spike,4,readying,csrss.exe,2,0.000,0.027
spike,5,readying,launchlab.exe,33,0.000,112.905
spike,5,readying,conhost.exe,7,0.000,8.257
spike,5,readying,MsMpEng.exe,1,0.000,1.403
spike,5,readying,powershell.exe,2,0.000,0.338
spike,5,readying,csrss.exe,2,0.000,0.021
spike,6,readying,launchlab.exe,34,0.000,111.603
spike,6,readying,conhost.exe,7,0.000,8.271
spike,6,readying,MsMpEng.exe,1,0.000,1.405
spike,6,readying,powershell.exe,2,0.000,0.354
spike,6,readying,csrss.exe,2,0.000,0.022
spike,7,readying,launchlab.exe,33,0.000,112.240
spike,7,readying,conhost.exe,7,0.000,8.419
spike,7,readying,MsMpEng.exe,1,0.000,1.487
spike,7,readying,powershell.exe,2,0.000,0.369
spike,7,readying,csrss.exe,2,0.000,0.022
spike,8,readying,launchlab.exe,34,0.000,111.493
spike,8,readying,conhost.exe,7,0.000,8.482
spike,8,readying,MsMpEng.exe,1,0.000,1.426
spike,8,readying,powershell.exe,2,0.000,0.332
spike,8,readying,csrss.exe,4,0.000,0.051
spike,9,readying,launchlab.exe,34,0.000,111.999
spike,9,readying,conhost.exe,7,0.000,8.391
spike,9,readying,MsMpEng.exe,1,0.000,1.386
spike,9,readying,powershell.exe,2,0.000,0.320
spike,9,readying,csrss.exe,2,0.000,0.021
spike,10,readying,launchlab.exe,34,0.000,127.306
spike,10,readying,conhost.exe,7,0.000,14.909
spike,10,readying,MsMpEng.exe,1,0.000,1.680
spike,10,readying,powershell.exe,2,0.000,0.337
spike,10,readying,csrss.exe,2,0.000,0.036
spike,11,readying,launchlab.exe,34,0.000,110.303
spike,11,readying,conhost.exe,7,0.000,8.508
spike,11,readying,MsMpEng.exe,1,0.000,1.418
spike,11,readying,powershell.exe,2,0.000,0.357
spike,11,readying,csrss.exe,2,0.000,0.021
spike,12,readying,launchlab.exe,34,0.000,113.139
spike,12,readying,conhost.exe,7,0.000,8.201
spike,12,readying,MsMpEng.exe,1,0.000,1.425
spike,12,readying,powershell.exe,2,0.000,0.328
spike,12,readying,csrss.exe,2,0.000,0.020
