config,run,etl,pid,image,startup_ms,wall_ms,cpu_ms,ready_ms,wait_ms,disk_service_ms,disk_ios,disk_mb,hardfaults,hardfault_io_ms,images_loaded,disk_qd_median,cpu_on_ms
spike,1,c0-spike-001.etl,8508,launchlab.exe,510.833,816.330,0.000,18.701,4046.118,1.085,4,0.096,0,0.000,29,0.500,63.154
spike,2,c0-spike-002.etl,5124,launchlab.exe,39.444,41.692,0.000,1.297,123.533,0.000,0,0.000,0,0.000,29,0.000,33.606
spike,3,c0-spike-003.etl,7616,launchlab.exe,38.779,41.041,0.000,1.511,122.193,0.000,0,0.000,0,0.000,29,0.000,32.916
spike,4,c0-spike-004.etl,2680,launchlab.exe,43.847,46.280,0.000,1.422,143.599,0.000,0,0.000,0,0.000,29,0.000,38.230
spike,5,c0-spike-005.etl,5840,launchlab.exe,38.901,41.146,0.000,1.260,122.924,0.000,0,0.000,0,0.000,29,0.000,33.293
spike,6,c0-spike-006.etl,6608,launchlab.exe,38.546,40.766,0.000,1.193,121.656,0.000,0,0.000,0,0.000,29,0.000,32.826
spike,7,c0-spike-007.etl,3728,launchlab.exe,39.238,41.592,0.000,1.434,122.537,0.000,0,0.000,0,0.000,29,0.000,33.388
spike,8,c0-spike-008.etl,8024,launchlab.exe,38.945,41.211,0.000,1.408,121.784,0.000,0,0.000,0,0.000,29,0.000,32.953
spike,9,c0-spike-009.etl,2000,launchlab.exe,38.863,41.225,0.000,1.260,122.117,0.000,0,0.000,0,0.000,29,0.000,33.140
spike,10,c0-spike-010.etl,2028,launchlab.exe,49.302,51.832,0.000,1.361,144.268,0.000,0,0.000,0,0.000,29,0.000,37.016
spike,11,c0-spike-011.etl,6336,launchlab.exe,38.574,40.857,0.000,1.249,120.607,0.000,0,0.000,0,0.000,29,0.000,32.515
spike,12,c0-spike-012.etl,8028,launchlab.exe,38.667,40.787,0.000,1.442,123.114,0.000,0,0.000,0,0.000,29,0.000,32.762
