config,run,kind,key,count,bytes,ms
spike,1,readying,launchlab.exe,31,0.000,4477.294
spike,1,readying,System,8,0.000,348.731
spike,1,readying,Idle,43,0.000,230.546
spike,1,readying,MsMpEng.exe,9,0.000,202.969
spike,1,readying,conhost.exe,7,0.000,15.477
spike,1,readying,powershell.exe,2,0.000,3.891
spike,1,readying,csrss.exe,2,0.000,0.062
spike,1,disk_write_file,C:\lab\spike.bin,42,33554432.000,11.815
spike,1,disk_write_file,C:\Users\user\AppData\Local\Temp\launchlab-5ab80320\fixed-spike\launchlab.dll,1,53248.000,1.685
spike,1,disk_write_file,C:\$LogFile,2,20480.000,0.238
spike,1,disk_read_file,C:\Users\user\AppData\Local\Temp\launchlab-5ab80320\fixed-spike\launchlab.dll,3,47104.000,0.060
spike,1,disk_flush_file,<unknown>,1,0.000,0.002
spike,2,readying,launchlab.exe,32,0.000,1041.116
spike,2,readying,Idle,41,0.000,122.922
spike,2,readying,conhost.exe,7,0.000,8.287
spike,2,readying,MsMpEng.exe,1,0.000,1.431
spike,2,readying,powershell.exe,2,0.000,0.350
spike,2,readying,csrss.exe,2,0.000,0.021
spike,2,disk_write_file,C:\lab\spike.bin,40,33554432.000,10.281
spike,2,disk_write_file,C:\$LogFile,2,16384.000,0.213
spike,2,disk_flush_file,<unknown>,1,0.000,0.002
spike,3,readying,launchlab.exe,36,0.000,1173.909
spike,3,readying,Idle,40,0.000,11.406
spike,3,readying,conhost.exe,7,0.000,9.011
spike,3,readying,MsMpEng.exe,1,0.000,1.455
spike,3,readying,powershell.exe,2,0.000,0.380
spike,3,readying,csrss.exe,2,0.000,0.032
spike,3,disk_write_file,C:\lab\spike.bin,38,33554432.000,11.440
spike,3,disk_write_file,C:\$LogFile,2,16384.000,0.193
spike,3,disk_flush_file,<unknown>,1,0.000,0.002
spike,4,readying,launchlab.exe,34,0.000,1055.974
spike,4,readying,Idle,41,0.000,115.002
spike,4,readying,conhost.exe,7,0.000,9.519
spike,4,readying,MsMpEng.exe,1,0.000,1.550
spike,4,readying,powershell.exe,2,0.000,0.420
spike,4,readying,csrss.exe,2,0.000,0.039
spike,4,disk_write_file,C:\lab\spike.bin,38,33554432.000,9.377
spike,4,disk_write_file,C:\$LogFile,2,16384.000,0.197
spike,4,disk_flush_file,<unknown>,1,0.000,0.002
spike,5,readying,launchlab.exe,35,0.000,1161.476
spike,5,readying,Idle,40,0.000,8.983
spike,5,readying,conhost.exe,7,0.000,8.423
spike,5,readying,MsMpEng.exe,1,0.000,1.410
spike,5,readying,powershell.exe,2,0.000,0.334
spike,5,readying,csrss.exe,2,0.000,0.027
spike,5,disk_write_file,C:\lab\spike.bin,38,33554432.000,9.002
spike,5,disk_write_file,C:\$LogFile,2,16384.000,0.184
spike,5,disk_flush_file,<unknown>,1,0.000,0.002
spike,6,readying,launchlab.exe,33,0.000,1037.257
spike,6,readying,Idle,41,0.000,124.187
spike,6,readying,conhost.exe,7,0.000,9.076
spike,6,readying,MsMpEng.exe,1,0.000,1.451
spike,6,readying,powershell.exe,2,0.000,0.441
spike,6,readying,csrss.exe,2,0.000,0.025
spike,6,disk_write_file,C:\lab\spike.bin,43,33554432.000,10.435
spike,6,disk_write_file,C:\$LogFile,2,16384.000,0.185
spike,6,disk_flush_file,<unknown>,1,0.000,0.002
spike,7,readying,launchlab.exe,34,0.000,1125.074
spike,7,readying,Idle,40,0.000,131.762
spike,7,readying,conhost.exe,7,0.000,8.457
spike,7,readying,MsMpEng.exe,1,0.000,1.464
spike,7,readying,powershell.exe,2,0.000,0.331
spike,7,readying,System,1,0.000,0.165
spike,7,readying,csrss.exe,2,0.000,0.025
spike,7,disk_write_file,C:\lab\spike.bin,41,33554432.000,19.477
spike,7,disk_write_file,C:\$LogFile,2,20480.000,0.250
spike,7,disk_flush_file,<unknown>,1,0.000,0.002
spike,8,readying,launchlab.exe,33,0.000,1108.336
spike,8,readying,Idle,42,0.000,129.211
spike,8,readying,conhost.exe,7,0.000,8.964
spike,8,readying,MsMpEng.exe,1,0.000,1.716
spike,8,readying,csrss.exe,4,0.000,0.050
spike,8,readying,powershell.exe,1,0.000,0.002
spike,8,disk_write_file,C:\lab\spike.bin,39,33554432.000,15.792
spike,8,disk_write_file,C:\$LogFile,3,65536.000,1.020
spike,8,disk_flush_file,<unknown>,1,0.000,0.002
spike,9,readying,launchlab.exe,34,0.000,1053.600
spike,9,readying,Idle,41,0.000,115.834
spike,9,readying,conhost.exe,7,0.000,9.020
spike,9,readying,MsMpEng.exe,1,0.000,1.466
spike,9,readying,powershell.exe,2,0.000,0.360
spike,9,readying,csrss.exe,2,0.000,0.029
spike,9,disk_write_file,C:\lab\spike.bin,38,33554432.000,9.583
spike,9,disk_write_file,C:\$LogFile,2,16384.000,0.226
spike,9,disk_flush_file,<unknown>,1,0.000,0.002
spike,10,readying,launchlab.exe,34,0.000,1073.153
spike,10,readying,Idle,41,0.000,115.588
spike,10,readying,conhost.exe,7,0.000,9.748
spike,10,readying,MsMpEng.exe,1,0.000,1.602
spike,10,readying,powershell.exe,2,0.000,0.461
spike,10,readying,csrss.exe,2,0.000,0.041
spike,10,disk_write_file,C:\lab\spike.bin,38,33554432.000,10.225
spike,10,disk_write_file,C:\$LogFile,2,73728.000,0.404
spike,10,disk_flush_file,<unknown>,1,0.000,0.002
spike,11,readying,launchlab.exe,34,0.000,1075.191
spike,11,readying,Idle,40,0.000,118.537
spike,11,readying,conhost.exe,7,0.000,9.511
spike,11,readying,MsMpEng.exe,1,0.000,1.596
spike,11,readying,powershell.exe,2,0.000,0.371
spike,11,readying,System,1,0.000,0.173
spike,11,readying,csrss.exe,2,0.000,0.044
spike,11,disk_write_file,C:\lab\spike.bin,42,33554432.000,9.436
spike,11,disk_write_file,C:\$LogFile,2,12288.000,0.298
spike,11,disk_flush_file,<unknown>,1,0.000,0.002
spike,12,readying,launchlab.exe,35,0.000,1056.965
spike,12,readying,Idle,40,0.000,121.207
spike,12,readying,conhost.exe,7,0.000,8.785
spike,12,readying,MsMpEng.exe,1,0.000,1.465
spike,12,readying,powershell.exe,2,0.000,0.333
spike,12,readying,System,1,0.000,0.112
spike,12,readying,csrss.exe,2,0.000,0.026
spike,12,disk_write_file,C:\lab\spike.bin,41,33554432.000,9.240
spike,12,disk_write_file,C:\$LogFile,2,16384.000,0.190
spike,12,disk_flush_file,<unknown>,1,0.000,0.002
