config,run,etl,pid,image,startup_ms,wall_ms,cpu_ms,ready_ms,wait_ms,disk_service_ms,disk_ios,disk_mb,hardfaults,hardfault_io_ms,images_loaded,disk_qd_median,cpu_on_ms
spike,1,c0-spike-001.etl,4360,launchlab.exe,679.015,1003.719,0.000,6.569,5278.971,13.799,49,32.115,0,0.000,30,0.000,200.679
spike,2,c0-spike-002.etl,9000,launchlab.exe,187.802,190.296,0.000,1.591,1174.128,10.496,43,32.016,0,0.000,30,0.000,171.553
spike,3,c0-spike-003.etl,9212,launchlab.exe,192.286,194.938,0.000,1.827,1196.194,11.634,41,32.016,0,0.000,30,0.000,174.491
spike,4,c0-spike-004.etl,5536,launchlab.exe,191.499,194.007,0.000,1.840,1182.505,9.575,41,32.016,0,0.000,30,0.000,175.075
spike,5,c0-spike-005.etl,8280,launchlab.exe,188.985,191.936,0.000,1.666,1180.653,9.188,41,32.016,0,0.000,30,0.000,174.644
spike,6,c0-spike-006.etl,6360,launchlab.exe,188.704,191.517,0.000,1.664,1172.435,10.621,46,32.016,0,0.000,30,0.000,171.671
spike,7,c0-spike-007.etl,6988,launchlab.exe,200.893,203.530,0.000,2.443,1267.279,19.729,44,32.020,0,0.000,30,0.000,175.135
spike,8,c0-spike-008.etl,8448,launchlab.exe,199.679,202.638,0.000,2.310,1248.278,16.814,43,32.062,0,0.000,30,0.000,176.656
spike,9,c0-spike-009.etl,8908,launchlab.exe,190.010,192.655,0.000,1.799,1180.308,9.812,41,32.016,0,0.000,30,0.000,173.927
spike,10,c0-spike-010.etl,2620,launchlab.exe,195.138,197.937,0.000,1.642,1200.594,10.631,41,32.070,0,0.000,30,0.000,177.864
spike,11,c0-spike-011.etl,4956,launchlab.exe,195.699,198.260,0.000,1.587,1205.423,9.736,45,32.012,0,0.000,30,0.000,179.414
spike,12,c0-spike-012.etl,5204,launchlab.exe,191.765,194.528,0.000,1.793,1188.894,9.432,44,32.016,0,0.000,30,0.000,176.772
