config,run,kind,key,count,bytes,ms
arm64-warm,1,readying,conhost.exe,2,0.000,16.346
arm64-warm,1,readying,7z.exe,16,0.000,15.900
arm64-warm,1,readying,powershell.exe,2,0.000,3.665
arm64-warm,1,readying,MsMpEng.exe,1,0.000,2.784
arm64-warm,1,readying,csrss.exe,2,0.000,0.047
arm64-warm,2,readying,7z.exe,16,0.000,9.893
arm64-warm,2,readying,conhost.exe,2,0.000,8.300
arm64-warm,2,readying,MsMpEng.exe,1,0.000,1.470
arm64-warm,2,readying,powershell.exe,2,0.000,0.347
arm64-warm,2,readying,csrss.exe,2,0.000,0.020
arm64-warm,3,readying,conhost.exe,2,0.000,14.296
arm64-warm,3,readying,7z.exe,17,0.000,10.021
arm64-warm,3,readying,MsMpEng.exe,1,0.000,1.442
arm64-warm,3,readying,powershell.exe,2,0.000,0.327
arm64-warm,3,readying,csrss.exe,2,0.000,0.021
arm64-warm,4,readying,7z.exe,16,0.000,10.232
arm64-warm,4,readying,conhost.exe,2,0.000,8.388
arm64-warm,4,readying,MsMpEng.exe,1,0.000,1.441
arm64-warm,4,readying,powershell.exe,2,0.000,0.349
arm64-warm,4,readying,csrss.exe,2,0.000,0.022
arm64-warm,5,readying,7z.exe,15,0.000,10.227
arm64-warm,5,readying,conhost.exe,2,0.000,8.557
arm64-warm,5,readying,MsMpEng.exe,1,0.000,1.461
arm64-warm,5,readying,powershell.exe,2,0.000,0.307
arm64-warm,5,readying,csrss.exe,4,0.000,0.039
arm64-warm,6,readying,7z.exe,16,0.000,9.748
arm64-warm,6,readying,conhost.exe,2,0.000,8.229
arm64-warm,6,readying,MsMpEng.exe,1,0.000,1.425
arm64-warm,6,readying,powershell.exe,2,0.000,0.368
arm64-warm,6,readying,csrss.exe,2,0.000,0.020
arm64-warm,7,readying,7z.exe,16,0.000,11.111
arm64-warm,7,readying,conhost.exe,2,0.000,8.993
arm64-warm,7,readying,MsMpEng.exe,1,0.000,1.633
arm64-warm,7,readying,powershell.exe,2,0.000,0.340
arm64-warm,7,readying,csrss.exe,2,0.000,0.025
arm64-warm,8,readying,7z.exe,16,0.000,10.182
arm64-warm,8,readying,conhost.exe,2,0.000,8.400
arm64-warm,8,readying,MsMpEng.exe,1,0.000,1.469
arm64-warm,8,readying,powershell.exe,2,0.000,0.320
arm64-warm,8,readying,csrss.exe,2,0.000,0.020
arm64-warm,9,readying,7z.exe,16,0.000,9.680
arm64-warm,9,readying,conhost.exe,2,0.000,8.174
arm64-warm,9,readying,MsMpEng.exe,1,0.000,1.430
arm64-warm,9,readying,powershell.exe,2,0.000,0.373
arm64-warm,9,readying,csrss.exe,2,0.000,0.021
arm64-warm,10,readying,7z.exe,16,0.000,9.990
arm64-warm,10,readying,conhost.exe,2,0.000,9.019
arm64-warm,10,readying,MsMpEng.exe,1,0.000,1.428
arm64-warm,10,readying,powershell.exe,2,0.000,0.323
arm64-warm,10,readying,csrss.exe,2,0.000,0.021
arm64-warm,11,readying,7z.exe,17,0.000,9.793
