config,run,traced,wall_ms
arm64-warm,1,1,626.618
x64-warm,1,1,396.304
arm64-warm,2,1,20.237
x64-warm,2,1,38.207
arm64-warm,3,1,26.197
x64-warm,3,1,36.039
arm64-warm,4,1,20.253
x64-warm,4,1,35.506
arm64-warm,5,1,20.633
x64-warm,5,1,35.459
arm64-warm,6,1,20.096
x64-warm,6,1,35.649
arm64-warm,7,1,21.617
x64-warm,7,1,37.501
arm64-warm,8,1,20.470
x64-warm,8,1,35.483
arm64-warm,9,1,19.981
x64-warm,9,1,35.405
arm64-warm,10,1,20.875
x64-warm,10,1,35.265
arm64-warm,11,1,20.067
x64-warm,11,1,35.636
arm64-warm,12,1,19.827
x64-warm,12,1,35.625
arm64-warm,13,1,22.140
x64-warm,13,1,45.483
arm64-warm,14,1,22.190
x64-warm,14,1,35.287
arm64-warm,15,1,20.374
x64-warm,15,1,35.796
arm64-warm,16,1,20.703
x64-warm,16,1,35.932
arm64-warm,17,1,21.023
x64-warm,17,1,37.517
arm64-warm,18,1,19.975
x64-warm,18,1,34.551
arm64-warm,19,1,19.649
x64-warm,19,1,35.537
arm64-warm,20,1,20.717
x64-warm,20,1,34.840
arm64-warm,1,0,614.101
x64-warm,1,0,434.530
arm64-warm,2,0,52.790
x64-warm,2,0,76.069
arm64-warm,3,0,51.082
x64-warm,3,0,78.969
arm64-warm,4,0,54.565
x64-warm,4,0,80.318
arm64-warm,5,0,55.204
x64-warm,5,0,73.114
arm64-warm,6,0,55.923
x64-warm,6,0,78.101
arm64-warm,7,0,54.343
x64-warm,7,0,78.882
arm64-warm,8,0,51.808
x64-warm,8,0,75.873
arm64-warm,9,0,54.849
x64-warm,9,0,76.480
arm64-warm,10,0,55.177
x64-warm,10,0,74.152
arm64-warm,11,0,52.430
x64-warm,11,0,76.603
arm64-warm,12,0,56.543
x64-warm,12,0,75.419
arm64-warm,13,0,21.858
x64-warm,13,0,77.640
arm64-warm,14,0,56.499
x64-warm,14,0,79.518
arm64-warm,15,0,53.499
x64-warm,15,0,75.867
arm64-warm,16,0,54.330
x64-warm,16,0,73.722
arm64-warm,17,0,52.397
x64-warm,17,0,74.971
arm64-warm,18,0,56.561
x64-warm,18,0,75.541
arm64-warm,19,0,53.554
x64-warm,19,0,75.803
arm64-warm,20,0,56.365
x64-warm,20,0,75.292
