config,run,etl,pid,image,startup_ms,wall_ms,cpu_ms,ready_ms,wait_ms,disk_service_ms,disk_ios,disk_mb,hardfaults,hardfault_io_ms,images_loaded,disk_qd_median,cpu_on_ms
arm64-warm,1,c0-arm64-warm-001.etl,1096,7z.exe,47.877,626.618,0.000,3.021,38.742,0.000,0,0.000,0,0.000,17,0.000,17.090
arm64-warm,2,c0-arm64-warm-002.etl,8296,7z.exe,19.063,20.237,0.000,0.774,20.032,0.000,0,0.000,0,0.000,17,0.000,9.474
arm64-warm,3,c0-arm64-warm-003.etl,4740,7z.exe,25.038,26.197,0.000,0.821,26.108,0.000,0,0.000,0,0.000,17,0.000,9.470
arm64-warm,4,c0-arm64-warm-004.etl,6000,7z.exe,19.102,20.253,0.000,0.360,20.432,0.000,0,0.000,0,0.000,17,0.000,9.640
arm64-warm,5,c0-arm64-warm-005.etl,1140,7z.exe,19.354,20.633,0.000,0.816,20.591,0.000,0,0.000,0,0.000,17,0.000,9.717
arm64-warm,6,c0-arm64-warm-006.etl,4084,7z.exe,18.982,20.096,0.000,0.753,19.790,0.000,0,0.000,0,0.000,17,0.000,9.462
arm64-warm,7,c0-arm64-warm-007.etl,4620,7z.exe,20.378,21.617,0.000,0.355,22.102,0.000,0,0.000,0,0.000,17,0.000,10.112
arm64-warm,8,c0-arm64-warm-008.etl,3652,7z.exe,19.283,20.470,0.000,0.797,20.391,0.000,0,0.000,0,0.000,17,0.000,9.799
arm64-warm,9,c0-arm64-warm-009.etl,1812,7z.exe,18.837,19.981,0.000,0.835,19.679,0.000,0,0.000,0,0.000,17,0.000,9.428
arm64-warm,10,c0-arm64-warm-010.etl,5348,7z.exe,19.719,20.875,0.000,0.824,20.781,0.000,0,0.000,0,0.000,17,0.000,9.472
arm64-warm,11,c0-arm64-warm-011.etl,7616,7z.exe,18.868,20.067,0.000,0.767,19.743,0.000,0,0.000,0,0.000,17,0.000,9.522
arm64-warm,12,c0-arm64-warm-012.etl,8008,7z.exe,18.707,19.827,0.000,0.779,19.882,0.000,0,0.000,0,0.000,17,0.000,9.182
arm64-warm,13,c0-arm64-warm-013.etl,4352,7z.exe,20.645,22.140,0.000,0.882,21.948,0.000,0,0.000,0,0.000,17,0.000,10.344
arm64-warm,14,c0-arm64-warm-014.etl,6544,7z.exe,20.808,22.190,0.000,0.866,21.796,0.000,0,0.000,0,0.000,17,0.000,10.267
arm64-warm,15,c0-arm64-warm-015.etl,3872,7z.exe,19.162,20.374,0.000,0.721,20.283,0.000,0,0.000,0,0.000,17,0.000,9.218
arm64-warm,16,c0-arm64-warm-016.etl,1540,7z.exe,19.481,20.703,0.000,0.605,20.624,0.000,0,0.000,0,0.000,17,0.000,9.315
arm64-warm,17,c0-arm64-warm-017.etl,6560,7z.exe,19.787,21.023,0.000,0.913,21.686,0.000,0,0.000,0,0.000,17,0.000,10.032
arm64-warm,18,c0-arm64-warm-018.etl,4708,7z.exe,18.838,19.975,0.000,0.702,20.125,0.000,0,0.000,0,0.000,17,0.000,9.271
arm64-warm,19,c0-arm64-warm-019.etl,2616,7z.exe,18.481,19.649,0.000,0.801,19.416,0.000,0,0.000,0,0.000,17,0.000,9.102
arm64-warm,20,c0-arm64-warm-020.etl,7180,7z.exe,19.617,20.717,0.000,0.716,20.124,0.000,0,0.000,0,0.000,17,0.000,9.786
x64-warm,1,c1-x64-warm-001.etl,4092,7z.exe,65.930,396.304,0.000,1.884,49.980,0.000,0,0.000,0,0.000,18,0.000,37.777
x64-warm,2,c1-x64-warm-002.etl,8064,7z.exe,36.299,38.207,0.000,1.237,35.931,0.000,0,0.000,0,0.000,18,0.000,24.508
x64-warm,3,c1-x64-warm-003.etl,6968,7z.exe,34.290,36.039,0.000,2.447,33.406,0.000,0,0.000,0,0.000,18,0.000,24.110
x64-warm,4,c1-x64-warm-004.etl,1528,7z.exe,33.456,35.506,0.000,1.570,32.578,0.000,0,0.000,0,0.000,18,0.000,22.652
x64-warm,5,c1-x64-warm-005.etl,4864,7z.exe,33.479,35.459,0.000,1.442,32.406,0.000,0,0.000,0,0.000,18,0.000,22.794
x64-warm,6,c1-x64-warm-006.etl,2008,7z.exe,33.672,35.649,0.000,1.508,32.879,0.000,0,0.000,0,0.000,18,0.000,22.860
x64-warm,7,c1-x64-warm-007.etl,8632,7z.exe,35.641,37.500,0.000,1.654,34.680,0.000,0,0.000,0,0.000,18,0.000,24.131
x64-warm,8,c1-x64-warm-008.etl,1192,7z.exe,33.745,35.483,0.000,1.237,33.008,0.000,0,0.000,0,0.000,18,0.000,22.877
x64-warm,9,c1-x64-warm-009.etl,2912,7z.exe,33.781,35.405,0.000,1.269,32.920,0.000,0,0.000,0,0.000,18,0.000,23.054
x64-warm,10,c1-x64-warm-010.etl,2340,7z.exe,33.572,35.265,0.000,0.588,33.681,0.000,0,0.000,0,0.000,18,0.000,23.103
x64-warm,11,c1-x64-warm-011.etl,6248,7z.exe,33.817,35.636,0.000,1.296,32.905,0.000,0,0.000,0,0.000,18,0.000,22.673
x64-warm,12,c1-x64-warm-012.etl,4056,7z.exe,33.975,35.625,0.000,1.256,32.737,0.000,0,0.000,0,0.000,18,0.000,22.877
x64-warm,13,c1-x64-warm-013.etl,3512,7z.exe,43.731,45.483,0.000,1.328,51.643,0.000,0,0.000,0,0.000,18,0.000,23.702
x64-warm,14,c1-x64-warm-014.etl,1972,7z.exe,33.519,35.287,0.000,0.621,33.004,0.000,0,0.000,0,0.000,18,0.000,23.084
x64-warm,15,c1-x64-warm-015.etl,3892,7z.exe,33.812,35.796,0.000,1.489,32.937,0.000,0,0.000,0,0.000,18,0.000,22.849
x64-warm,16,c1-x64-warm-016.etl,6464,7z.exe,34.332,35.932,0.000,1.277,32.827,0.000,0,0.000,0,0.000,18,0.000,23.107
x64-warm,17,c1-x64-warm-017.etl,6552,7z.exe,35.073,37.516,0.000,1.376,33.418,0.000,0,0.000,0,0.000,18,0.000,24.032
x64-warm,18,c1-x64-warm-018.etl,1200,7z.exe,32.936,34.551,0.000,1.227,31.891,0.000,0,0.000,0,0.000,18,0.000,22.288
x64-warm,19,c1-x64-warm-019.etl,2540,7z.exe,33.616,35.537,0.000,1.401,32.197,0.000,0,0.000,0,0.000,18,0.000,22.900
x64-warm,20,c1-x64-warm-020.etl,3228,7z.exe,33.308,34.840,0.000,1.185,33.056,0.000,0,0.000,0,0.000,18,0.000,22.499
