config,run,kind,key,count,bytes,ms
arm64-warm,1,readying,conhost.exe,2,0.000,15.633
arm64-warm,1,readying,7z.exe,16,0.000,15.020
arm64-warm,1,readying,powershell.exe,2,0.000,4.352
arm64-warm,1,readying,MsMpEng.exe,1,0.000,2.768
arm64-warm,1,readying,csrss.exe,2,0.000,0.039
arm64-warm,2,readying,7z.exe,16,0.000,10.587
arm64-warm,2,readying,conhost.exe,2,0.000,9.393
arm64-warm,2,readying,MsMpEng.exe,1,0.000,1.741
arm64-warm,2,readying,powershell.exe,2,0.000,0.579
arm64-warm,2,readying,csrss.exe,2,0.000,0.026
arm64-warm,3,readying,7z.exe,16,0.000,10.226
arm64-warm,3,readying,conhost.exe,2,0.000,9.301
arm64-warm,3,readying,MsMpEng.exe,2,0.000,1.686
arm64-warm,3,readying,System,1,0.000,0.571
arm64-warm,3,readying,powershell.exe,2,0.000,0.371
arm64-warm,3,readying,csrss.exe,2,0.000,0.021
arm64-warm,4,readying,7z.exe,18,0.000,9.462
arm64-warm,4,readying,conhost.exe,2,0.000,8.203
arm64-warm,4,readying,MsMpEng.exe,1,0.000,1.455
arm64-warm,4,readying,powershell.exe,2,0.000,0.376
arm64-warm,4,readying,csrss.exe,2,0.000,0.020
arm64-warm,5,readying,7z.exe,16,0.000,10.016
arm64-warm,5,readying,conhost.exe,2,0.000,8.186
arm64-warm,5,readying,MsMpEng.exe,1,0.000,1.410
arm64-warm,5,readying,powershell.exe,2,0.000,0.417
arm64-warm,5,readying,csrss.exe,2,0.000,0.018
arm64-warm,6,readying,conhost.exe,2,0.000,7.891
arm64-warm,6,readying,7z.exe,6,0.000,5.469
arm64-warm,6,readying,MsMpEng.exe,1,0.000,1.602
arm64-warm,6,readying,powershell.exe,2,0.000,0.392
arm64-warm,6,readying,csrss.exe,3,0.000,0.025
arm64-warm,7,readying,7z.exe,17,0.000,10.396
arm64-warm,7,readying,conhost.exe,2,0.000,8.851
arm64-warm,7,readying,MsMpEng.exe,1,0.000,1.667
arm64-warm,7,readying,powershell.exe,2,0.000,0.424
arm64-warm,7,readying,csrss.exe,2,0.000,0.041
arm64-warm,8,readying,7z.exe,17,0.000,9.559
arm64-warm,8,readying,conhost.exe,2,0.000,7.962
arm64-warm,8,readying,MsMpEng.exe,1,0.000,1.488
arm64-warm,8,readying,powershell.exe,2,0.000,0.376
arm64-warm,8,readying,csrss.exe,2,0.000,0.019
arm64-warm,9,readying,7z.exe,16,0.000,9.783
arm64-warm,9,readying,conhost.exe,2,0.000,8.283
arm64-warm,9,readying,MsMpEng.exe,1,0.000,1.422
arm64-warm,9,readying,powershell.exe,2,0.000,0.371
arm64-warm,9,readying,csrss.exe,2,0.000,0.020
arm64-warm,10,readying,conhost.exe,2,0.000,15.438
arm64-warm,10,readying,7z.exe,15,0.000,11.652
arm64-warm,10,readying,MsMpEng.exe,1,0.000,1.598
arm64-warm,10,readying,powershell.exe,2,0.000,0.430
arm64-warm,10,readying,csrss.exe,2,0.000,0.046
arm64-warm,11,readying,7z.exe,16,0.000,10.179
arm64-warm,11,readying,conhost.exe,2,0.000,8.802
arm64-warm,11,readying,MsMpEng.exe,1,0.000,1.479
arm64-warm,11,readying,powershell.exe,2,0.000,0.407
arm64-warm,11,readying,csrss.exe,2,0.000,0.021
arm64-warm,12,readying,7z.exe,16,0.000,10.807
arm64-warm,12,readying,conhost.exe,2,0.000,8.467
arm64-warm,12,readying,MsMpEng.exe,1,0.000,1.561
arm64-warm,12,readying,powershell.exe,2,0.000,0.427
arm64-warm,12,readying,csrss.exe,2,0.000,0.032
arm64-warm,13,readying,7z.exe,16,0.000,10.737
arm64-warm,13,readying,conhost.exe,2,0.000,9.242
arm64-warm,13,readying,MsMpEng.exe,1,0.000,1.501
arm64-warm,13,readying,powershell.exe,2,0.000,0.386
arm64-warm,13,readying,csrss.exe,2,0.000,0.025
arm64-warm,14,readying,7z.exe,17,0.000,11.734
arm64-warm,14,readying,conhost.exe,2,0.000,9.041
arm64-warm,14,readying,MsMpEng.exe,1,0.000,1.761
arm64-warm,14,readying,csrss.exe,2,0.000,0.036
arm64-warm,14,readying,powershell.exe,1,0.000,0.002
arm64-warm,15,readying,7z.exe,18,0.000,10.333
arm64-warm,15,readying,conhost.exe,2,0.000,10.032
arm64-warm,15,readying,MsMpEng.exe,1,0.000,1.843
arm64-warm,15,readying,powershell.exe,2,0.000,0.454
arm64-warm,15,readying,csrss.exe,2,0.000,0.031
arm64-warm,16,readying,7z.exe,16,0.000,10.934
arm64-warm,16,readying,conhost.exe,2,0.000,9.137
arm64-warm,16,readying,MsMpEng.exe,1,0.000,1.723
arm64-warm,16,readying,powershell.exe,2,0.000,0.386
arm64-warm,16,readying,csrss.exe,2,0.000,0.043
arm64-warm,17,readying,7z.exe,18,0.000,12.141
arm64-warm,17,readying,conhost.exe,2,0.000,8.853
arm64-warm,17,readying,MsMpEng.exe,1,0.000,1.563
arm64-warm,17,readying,powershell.exe,2,0.000,0.420
arm64-warm,17,readying,csrss.exe,2,0.000,0.027
arm64-warm,18,readying,7z.exe,16,0.000,10.765
arm64-warm,18,readying,conhost.exe,2,0.000,9.222
arm64-warm,18,readying,MsMpEng.exe,1,0.000,1.690
arm64-warm,18,readying,powershell.exe,2,0.000,0.417
arm64-warm,18,readying,csrss.exe,2,0.000,0.035
arm64-warm,19,readying,7z.exe,16,0.000,9.521
arm64-warm,19,readying,conhost.exe,2,0.000,8.142
arm64-warm,19,readying,MsMpEng.exe,1,0.000,1.462
arm64-warm,19,readying,powershell.exe,2,0.000,0.385
arm64-warm,19,readying,csrss.exe,2,0.000,0.020
arm64-warm,20,readying,7z.exe,16,0.000,10.377
arm64-warm,20,readying,conhost.exe,2,0.000,9.662
arm64-warm,20,readying,MsMpEng.exe,2,0.000,1.728
arm64-warm,20,readying,System,1,0.000,0.678
arm64-warm,20,readying,powershell.exe,2,0.000,0.436
arm64-warm,20,readying,csrss.exe,2,0.000,0.022
x64-warm,1,readying,7z.exe,18,0.000,27.209
x64-warm,1,readying,conhost.exe,2,0.000,12.202
x64-warm,1,readying,powershell.exe,2,0.000,4.773
x64-warm,1,readying,XtaCache.exe,17,0.000,3.944
x64-warm,1,readying,MsMpEng.exe,3,0.000,1.920
x64-warm,1,readying,csrss.exe,2,0.000,0.038
x64-warm,2,readying,7z.exe,18,0.000,18.728
x64-warm,2,readying,conhost.exe,2,0.000,8.226
x64-warm,2,readying,XtaCache.exe,17,0.000,3.032
x64-warm,2,readying,MsMpEng.exe,1,0.000,1.476
x64-warm,2,readying,powershell.exe,2,0.000,0.779
x64-warm,2,readying,csrss.exe,2,0.000,0.024
x64-warm,3,readying,7z.exe,19,0.000,18.460
x64-warm,3,readying,conhost.exe,2,0.000,8.211
x64-warm,3,readying,XtaCache.exe,17,0.000,2.867
