"config","run","etl","pid","ll_startup_ms","xperf_startup_ms","ll_ready_ms","wpa_ready_ms","ll_wait_ms","wpa_wait_ms","ll_disk_service_ms","wpa_disk_service_ms","ll_disk_ios","wpa_disk_groups","ll_disk_mb","wpa_disk_mb","wpa_context_switches"
"arm64-warm","1","c0-arm64-warm-001.etl","9076","47.403","47.403","2.876","2.876","37.812","37.812","0","0","0","0","0","0","49"
"arm64-warm","2","c0-arm64-warm-002.etl","6132","22.627","22.627","0.992","0.992","22.325","22.325","0","0","0","0","0","0","35"
"arm64-warm","3","c0-arm64-warm-003.etl","8284","21.388","21.389","0.889","0.889","22.177","22.177","0","0","0","0","0","0","47"
"arm64-warm","4","c0-arm64-warm-004.etl","7288","18.773","18.773","0.795","0.795","19.515","19.515","0","0","0","0","0","0","50"
"arm64-warm","5","c0-arm64-warm-005.etl","2708","18.722","18.722","0.338","0.338","20.048","20.048","0","0","0","0","0","0","31"
"arm64-warm","6","c0-arm64-warm-006.etl","8752","19.111","19.11","1.36","1.36","15.379","15.379","0","0","0","0","0","0","35"
"arm64-warm","7","c0-arm64-warm-007.etl","3056","20.344","20.344","0.8","0.8","21.379","21.379","0","0","0","0","0","0","40"
"arm64-warm","8","c0-arm64-warm-008.etl","5136","18.625","18.625","0.927","0.927","19.404","19.404","0","0","0","0","0","0","46"
"arm64-warm","9","c0-arm64-warm-009.etl","1756","18.925","18.925","0.878","0.878","19.879","19.879","0","0","0","0","0","0","44"
"arm64-warm","10","c0-arm64-warm-010.etl","1292","28.109","28.108","0.924","0.924","29.164","29.164","0","0","0","0","0","0","37"
"arm64-warm","11","c0-arm64-warm-011.etl","9212","19.515","19.515","0.331","0.331","20.889","20.889","0","0","0","0","0","0","28"
"arm64-warm","12","c0-arm64-warm-012.etl","512","20.306","20.306","0.797","0.797","21.294","21.294","0","0","0","0","0","0","29"
"arm64-warm","13","c0-arm64-warm-013.etl","4204","20.832","20.833","0.981","0.981","21.89","21.89","0","0","0","0","0","0","34"
"arm64-warm","14","c0-arm64-warm-014.etl","6220","21.795","21.795","1.508","1.508","22.575","22.575","0","0","0","0","0","0","35"
"arm64-warm","15","c0-arm64-warm-015.etl","6576","22.193","22.193","0.802","0.802","22.693","22.693","0","0","0","0","0","0","35"
"arm64-warm","16","c0-arm64-warm-016.etl","7396","21.071","21.071","0.833","0.834","22.223","22.223","0","0","0","0","0","0","32"
"arm64-warm","17","c0-arm64-warm-017.etl","2456","20.832","20.833","0.507","0.507","23.005","23.005","0","0","0","0","0","0","28"
"arm64-warm","18","c0-arm64-warm-018.etl","8968","21.217","21.217","0.964","0.964","22.129","22.129","0","0","0","0","0","0","36"
"arm64-warm","19","c0-arm64-warm-019.etl","2096","18.621","18.621","0.745","0.745","19.531","19.531","0","0","0","0","0","0","29"
"arm64-warm","20","c0-arm64-warm-020.etl","5048","21.819","21.819","0.573","0.573","22.903","22.903","0","0","0","0","0","0","43"
"x64-warm","1","c1-x64-warm-001.etl","8164","70.524","70.525","4.467","4.467","50.086","50.086","0","0","0","0","0","0","66"
"x64-warm","2","c1-x64-warm-002.etl","2228","33.365","33.365","1.308","1.308","32.264","32.264","0","0","0","0","0","0","72"
"x64-warm","3","c1-x64-warm-003.etl","5860","34.579","34.579","1.539","1.539","33.093","33.093","0","0","0","0","0","0","71"
"x64-warm","4","c1-x64-warm-004.etl","4144","33.801","33.801","1.35","1.35","32.839","32.839","0","0","0","0","0","0","72"
"x64-warm","5","c1-x64-warm-005.etl","2184","33.996","33.996","1.245","1.245","33.06","33.06","0","0","0","0","0","0","64"
"x64-warm","6","c1-x64-warm-006.etl","5656","34.117","34.117","1.246","1.246","33.316","33.316","0","0","0","0","0","0","72"
"x64-warm","7","c1-x64-warm-007.etl","1544","34.539","34.54","1.24","1.24","32.554","32.554","0","0","0","0","0","0","75"
"x64-warm","8","c1-x64-warm-008.etl","8452","35.068","35.068","1.299","1.299","33.215","33.215","0","0","0","0","0","0","73"
"x64-warm","9","c1-x64-warm-009.etl","8232","34.931","34.931","1.225","1.225","33.856","33.856","0","0","0","0","0","0","73"
"x64-warm","10","c1-x64-warm-010.etl","2008","51.462","51.462","1.46","1.46","57.522","57.522","0","0","0","0","0","0","71"
"x64-warm","11","c1-x64-warm-011.etl","9096","38.186","38.186","1.329","1.329","36.203","36.203","0","0","0","0","0","0","63"
"x64-warm","12","c1-x64-warm-012.etl","6328","39.953","39.952","2.86","2.86","40.024","40.024","0","0","0","0","0","0","69"
"x64-warm","13","c1-x64-warm-013.etl","4384","36.485","36.485","1.218","1.218","36.214","36.214","0","0","0","0","0","0","59"
"x64-warm","14","c1-x64-warm-014.etl","3440","37.399","37.399","1.54","1.54","37.402","37.402","0","0","0","0","0","0","74"
"x64-warm","15","c1-x64-warm-015.etl","7536","51.272","51.272","1.75","1.75","54.973","54.973","0","0","0","0","0","0","57"
"x64-warm","16","c1-x64-warm-016.etl","4112","36.078","36.079","1.223","1.223","37.15","37.15","0","0","0","0","0","0","56"
"x64-warm","17","c1-x64-warm-017.etl","1524","36.884","36.884","1.29","1.29","37.588","37.588","0","0","0","0","0","0","58"
"x64-warm","18","c1-x64-warm-018.etl","8516","36.866","36.865","1.559","1.559","36.787","36.787","0","0","0","0","0","0","68"
"x64-warm","19","c1-x64-warm-019.etl","1804","33.374","33.374","1.475","1.476","32.91","32.91","0","0","0","0","0","0","77"
"x64-warm","20","c1-x64-warm-020.etl","4912","40.3","40.3","1.545","1.545","38.8","38.8","0","0","0","0","0","0","78"
