config,run,traced,wall_ms
arm64-warm,1,1,629.958
x64-warm,1,1,410.304
arm64-warm,2,1,24.669
x64-warm,2,1,35.084
arm64-warm,3,1,22.615
x64-warm,3,1,36.436
arm64-warm,4,1,19.919
x64-warm,4,1,35.378
arm64-warm,5,1,19.848
x64-warm,5,1,35.667
arm64-warm,6,1,20.513
x64-warm,6,1,35.729
arm64-warm,7,1,21.725
x64-warm,7,1,36.266
arm64-warm,8,1,19.731
x64-warm,8,1,36.801
arm64-warm,9,1,20.118
x64-warm,9,1,36.669
arm64-warm,10,1,29.534
x64-warm,10,1,53.494
arm64-warm,11,1,20.926
x64-warm,11,1,40.097
arm64-warm,12,1,21.816
x64-warm,12,1,41.910
arm64-warm,13,1,22.367
x64-warm,13,1,38.368
arm64-warm,14,1,23.408
x64-warm,14,1,39.618
arm64-warm,15,1,23.974
x64-warm,15,1,53.740
arm64-warm,16,1,22.447
x64-warm,16,1,38.210
arm64-warm,17,1,22.414
x64-warm,17,1,38.824
arm64-warm,18,1,22.790
x64-warm,18,1,38.933
arm64-warm,19,1,19.728
x64-warm,19,1,35.383
arm64-warm,20,1,23.126
x64-warm,20,1,42.210
