config,run,etl,pid,image,startup_ms,wall_ms,cpu_ms,ready_ms,wait_ms,disk_service_ms,disk_ios,disk_mb,hardfaults,hardfault_io_ms,images_loaded,disk_qd_median,cpu_on_ms
arm64-warm,1,c0-arm64-warm-001.etl,9076,7z.exe,47.403,629.958,0.000,2.876,37.812,0.000,0,0.000,0,0.000,17,0.000,17.147
arm64-warm,2,c0-arm64-warm-002.etl,6132,7z.exe,22.627,24.668,0.000,0.992,22.325,0.000,0,0.000,0,0.000,17,0.000,10.725
arm64-warm,3,c0-arm64-warm-003.etl,8284,7z.exe,21.388,22.615,0.000,0.889,22.177,0.000,0,0.000,0,0.000,17,0.000,10.013
arm64-warm,4,c0-arm64-warm-004.etl,7288,7z.exe,18.773,19.919,0.000,0.795,19.515,0.000,0,0.000,0,0.000,17,0.000,9.357
arm64-warm,5,c0-arm64-warm-005.etl,2708,7z.exe,18.722,19.848,0.000,0.338,20.048,0.000,0,0.000,0,0.000,17,0.000,9.332
arm64-warm,6,c0-arm64-warm-006.etl,8752,7z.exe,19.111,20.513,0.000,1.360,15.379,0.000,0,0.000,0,0.000,17,0.000,9.515
arm64-warm,7,c0-arm64-warm-007.etl,3056,7z.exe,20.344,21.725,0.000,0.800,21.379,0.000,0,0.000,0,0.000,17,0.000,10.059
arm64-warm,8,c0-arm64-warm-008.etl,5136,7z.exe,18.625,19.731,0.000,0.927,19.404,0.000,0,0.000,0,0.000,17,0.000,9.390
arm64-warm,9,c0-arm64-warm-009.etl,1756,7z.exe,18.925,20.118,0.000,0.878,19.879,0.000,0,0.000,0,0.000,17,0.000,9.269
arm64-warm,10,c0-arm64-warm-010.etl,1292,7z.exe,28.109,29.534,0.000,0.924,29.164,0.000,0,0.000,0,0.000,17,0.000,11.382
arm64-warm,11,c0-arm64-warm-011.etl,9212,7z.exe,19.515,20.926,0.000,0.331,20.889,0.000,0,0.000,0,0.000,17,0.000,9.574
arm64-warm,12,c0-arm64-warm-012.etl,512,7z.exe,20.306,21.816,0.000,0.797,21.294,0.000,0,0.000,0,0.000,17,0.000,10.663
arm64-warm,13,c0-arm64-warm-013.etl,4204,7z.exe,20.832,22.367,0.000,0.981,21.890,0.000,0,0.000,0,0.000,17,0.000,10.450
arm64-warm,14,c0-arm64-warm-014.etl,6220,7z.exe,21.795,23.408,0.000,1.508,22.575,0.000,0,0.000,0,0.000,17,0.000,10.711
arm64-warm,15,c0-arm64-warm-015.etl,6576,7z.exe,22.193,23.974,0.000,0.802,22.693,0.000,0,0.000,0,0.000,17,0.000,10.627
arm64-warm,16,c0-arm64-warm-016.etl,7396,7z.exe,21.071,22.447,0.000,0.833,22.223,0.000,0,0.000,0,0.000,17,0.000,10.595
arm64-warm,17,c0-arm64-warm-017.etl,2456,7z.exe,20.832,22.414,0.000,0.507,23.005,0.000,0,0.000,0,0.000,17,0.000,10.939
arm64-warm,18,c0-arm64-warm-018.etl,8968,7z.exe,21.217,22.790,0.000,0.964,22.129,0.000,0,0.000,0,0.000,17,0.000,10.577
arm64-warm,19,c0-arm64-warm-019.etl,2096,7z.exe,18.621,19.728,0.000,0.745,19.531,0.000,0,0.000,0,0.000,17,0.000,9.041
arm64-warm,20,c0-arm64-warm-020.etl,5048,7z.exe,21.819,23.126,0.000,0.573,22.903,0.000,0,0.000,0,0.000,17,0.000,9.644
x64-warm,1,c1-x64-warm-001.etl,8164,7z.exe,70.524,410.304,0.000,4.467,50.086,0.000,0,0.000,0,0.000,18,0.000,38.323
x64-warm,2,c1-x64-warm-002.etl,2228,7z.exe,33.365,35.084,0.000,1.308,32.264,0.000,0,0.000,0,0.000,18,0.000,22.652
x64-warm,3,c1-x64-warm-003.etl,5860,7z.exe,34.579,36.436,0.000,1.539,33.093,0.000,0,0.000,0,0.000,18,0.000,22.623
x64-warm,4,c1-x64-warm-004.etl,4144,7z.exe,33.801,35.378,0.000,1.350,32.839,0.000,0,0.000,0,0.000,18,0.000,22.797
x64-warm,5,c1-x64-warm-005.etl,2184,7z.exe,33.996,35.667,0.000,1.245,33.060,0.000,0,0.000,0,0.000,18,0.000,22.909
x64-warm,6,c1-x64-warm-006.etl,5656,7z.exe,34.117,35.729,0.000,1.246,33.316,0.000,0,0.000,0,0.000,18,0.000,22.881
x64-warm,7,c1-x64-warm-007.etl,1544,7z.exe,34.539,36.266,0.000,1.240,32.554,0.000,0,0.000,0,0.000,18,0.000,23.301
